mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,zoning_strategy,num_zones,resolution_mode,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,total_eui_kwh_m2
auto,way/472960895,MidriseApartment,206.87808236387656,success,False,one_zone_per_floor,2,auto,56.75652198231452,18.590614694918134,3.965491160723449,43.39802567754816,13.17721917410553,0.0,34.629530803203856,170.51740349281363
auto,way/472960999,MidriseApartment,106.55667836374124,success,False,one_zone_per_floor,2,auto,72.6468141812298,21.917317728068976,3.8921784047880816,42.59569660010938,15.985277059289379,0.0,37.501514856722615,194.53879883020824
auto,way/472961028,MidriseApartment,75.2779891356327,success,False,single_zone,1,auto,84.25053936732323,21.553440991134643,3.9654911691172003,43.39802576940872,15.782436713822264,0.0,40.01924619832926,208.96918020913535
auto,way/472961029,MidriseApartment,64.70239900725761,success,False,single_zone,1,auto,90.22619041189152,22.544006312777906,3.965491175380045,43.39802583794881,16.695860653560967,0.0,41.400393711260634,218.22996810281987
auto,way/472961098,MidriseApartment,266.3294797152314,success,False,one_zone_per_floor,2,auto,48.082318601079216,17.341703818117654,3.9654911023105788,43.39802503828226,12.191992898835704,0.0,33.94487112508895,158.92440258371437
auto,way/222366800,SmallOffice,149.94484356356114,success,False,single_zone,1,auto,22.81557742979592,27.219791926673892,26.465100441814634,27.764777894078968,16.390704714544302,0.0,5.814074621951275,126.470027028859
auto,way/472960967,SmallOffice,441.6645091840761,success,False,one_zone_per_floor,2,auto,19.71508366318685,26.495317629713284,26.513937297747102,27.816013084400325,15.035366058010833,0.0,2.7856458367764514,118.36136356983485
auto,way/472960970,SmallOffice,29.40207916414758,success,False,single_zone,1,auto,54.99590791808035,68.7028270742905,26.46510168578203,27.764779199136495,41.593430479648426,0.0,24.5830604766139,244.10510683355173
auto,way/472960971,SmallOffice,457.1761362533084,success,False,one_zone_per_floor,2,auto,17.581344033479045,24.386899750422703,26.27430288319715,27.564610437719093,13.262965013504958,0.0,2.7332499942770885,111.80337211260003
auto,way/472960975,SmallOffice,131.75197701519377,success,False,single_zone,1,auto,24.013860622930427,31.747395043535914,26.31922676947093,27.611740495935663,18.053772806106156,0.0,6.4393807184956335,134.1853764564747
auto,way/472960936,MediumOffice,4367.916319519761,success,False,perimeter_core,15,auto,16.608313714059758,22.52077081218817,26.465099718848506,44.063274628193035,46.81543300279859,0.0,3.7746487678868093,160.2475406439749
auto,way/472960937,MediumOffice,2702.646676062805,success,False,perimeter_core,10,auto,18.766473302723597,23.30210944072961,26.465101457597715,44.06327752313711,49.14054544979405,0.0,4.215620343215911,165.953127517198
auto,way/472960938,MediumOffice,2800.8749115707997,success,False,perimeter_core,10,auto,18.43775402404188,23.08207047651329,26.465098918094395,44.06327329497122,48.47604861429449,0.0,4.1753677606170765,164.69961308853235
auto,way/472960940,MediumOffice,2811.8654598536828,success,False,perimeter_core,10,auto,18.27790456556812,23.03823488157129,26.465100493468828,44.0632759179032,48.337766750734296,0.0,4.1708047344439745,164.35308734368968
auto,way/472960941,MediumOffice,2594.5805624542754,success,False,perimeter_core,10,auto,18.807331975787353,23.331417149768267,26.465100180708113,44.063275397169804,49.033788373160235,0.0,4.262894418494496,165.96380749508828
auto,way/472960939,LargeOffice,6158.351395526425,success,False,perimeter_core,10,auto,11.523695789594079,21.353354399372694,26.465100456291818,44.06327585600504,38.71327384004665,8.17157028081837,2.7540633049208387,153.04433392704948
auto,way/472960930,Warehouse,30.45752918513231,success,False,single_zone,1,auto,14.767350551410528,0.0,4.863585409250059,11.30040134122397,1.1648371193719058,0.0,21.40712734623108,53.50330176748754
