zone_name,north_axis_deg,origin_x,origin_y,origin_z,centroid_x,centroid_y,centroid_z,zone_type,zone_multiplier,zone_list_multiplier,min_x,max_x,min_y,max_y,min_z,max_z,ceiling_height,volume,inside_convection_algo,outside_convection_algo,floor_area,ext_gross_wall_area,ext_net_wall_area,ext_window_area,n_surfaces,n_subsurfaces,n_shading_subsurfaces,part_of_total_building_area,cell,stem,mode,run_label,extent_x,extent_y,extent_z,footprint_diagonal_m,aspect_ratio,volume_over_floor_area,volume_consistency_ratio,floor_index,is_top_floor_zone,has_fatal,cause_class,severe_line_text,n_severe_total,run_severe_zone_name,run_severe_zone_name_independent_reread,is_blowup_zone
WAY/472960972_F0_PERIM1,0.0,0.0,0.0,0.0,12.43,-29.73,1.75,1,1,1,0.62,23.59,-37.11,-25.62,0.0,3.5,3.5,190.65,TARP,DOE-2,54.47,133.17,119.87,13.3,12,2,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,0.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F1_PERIM1,0.0,0.0,0.0,0.0,12.43,-29.73,5.25,1,1,1,0.62,23.59,-37.11,-25.62,3.5,7.0,3.5,190.65,TARP,DOE-2,54.47,133.17,119.87,13.3,12,2,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,1.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F2_PERIM1,0.0,0.0,0.0,0.0,12.43,-29.73,8.75,1,1,1,0.62,23.59,-37.11,-25.62,7.0,10.5,3.5,190.65,TARP,DOE-2,54.47,133.17,119.87,13.3,12,2,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,2.0,True,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F0_PERIM2,0.0,0.0,0.0,0.0,9.31,-31.28,1.75,1,1,1,0.62,23.59,-37.11,-25.62,0.0,3.5,3.5,190.65,TARP,DOE-2,54.47,24.57,22.12,2.45,11,1,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,0.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F1_PERIM2,0.0,0.0,0.0,0.0,9.31,-31.28,5.25,1,1,1,0.62,23.59,-37.11,-25.62,3.5,7.0,3.5,190.65,TARP,DOE-2,54.47,24.57,22.12,2.45,11,1,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,1.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F2_PERIM2,0.0,0.0,0.0,0.0,9.31,-31.28,8.75,1,1,1,0.62,23.59,-37.11,-25.62,7.0,10.5,3.5,190.65,TARP,DOE-2,54.47,24.57,22.12,2.45,11,1,0,Yes,la_rural,way_472960972,auto,target,22.97,11.489999999999998,3.5,25.683477178917965,1.9991296779808532,3.5000917936478797,1.000026226756537,2.0,True,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F0_PERIM3,0.0,0.0,0.0,0.0,-4.32,-35.13,1.75,1,1,1,-13.82,5.15,-37.11,-32.43,0.0,3.5,3.5,10.0,TARP,DOE-2,65.88,100.91,90.83,10.08,6,2,0,Yes,la_rural,way_472960972,auto,target,18.97,4.68,3.5,19.538764034605666,4.053418803418803,0.1517911353976928,0.04336889582791222,0.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F1_PERIM3,0.0,0.0,0.0,0.0,-4.32,-35.13,5.25,1,1,1,-13.82,5.15,-37.11,-32.43,3.5,7.0,3.5,10.0,TARP,DOE-2,65.88,100.91,90.83,10.08,6,2,0,Yes,la_rural,way_472960972,auto,target,18.97,4.68,3.5,19.538764034605666,4.053418803418803,0.1517911353976928,0.04336889582791222,1.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F2_PERIM3,0.0,0.0,0.0,0.0,-4.32,-35.13,8.75,1,1,1,-13.82,5.15,-37.11,-32.43,7.0,10.5,3.5,10.0,TARP,DOE-2,65.88,100.91,90.83,10.08,6,2,0,Yes,la_rural,way_472960972,auto,target,18.97,4.68,3.5,19.538764034605666,4.053418803418803,0.1517911353976928,0.04336889582791222,2.0,True,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
WAY/472960972_F0_PERIM4,0.0,0.0,0.0,0.0,-11.83,-34.62,1.75,1,1,1,-13.82,-9.23,-36.97,-32.43,0.0,3.5,3.5,10.0,TARP,DOE-2,3.22,4.93,4.44,0.49,5,1,0,Yes,la_rural,way_472960972,auto,target,4.59,4.539999999999999,3.5,6.455981722402875,1.011013215859031,3.105590062111801,0.8873114463176573,0.0,False,True,Temperature (low) out of bounds,"** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",21,WAY/472960972_F2_CORE,WAY/472960972_F2_CORE,False
