archetype_id,fleet_n,target_n,selected_n,n_cells_used,cells_used
SmallOffice,3497,3497,3497,12,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
MidriseApartment,2818,2818,2818,11,austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
OpenUBEMUnknown,650,650,650,11,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
MediumOffice,391,391,391,11,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_suburban;nyc_urban
LargeOffice,257,257,257,8,austin_centre;austin_rural;austin_urban;la_centre;la_suburban;la_urban;nyc_centre;nyc_urban
RetailStandalone,140,140,140,9,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_suburban;la_urban;nyc_centre;nyc_rural
TallBuilding,92,92,92,5,austin_centre;la_centre;la_urban;nyc_centre;nyc_urban
Courthouse,68,68,68,11,austin_centre;austin_rural;austin_suburban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
QuickServiceRestaurant,50,50,50,9,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_urban;nyc_centre;nyc_rural;nyc_suburban
FullServiceRestaurant,33,33,33,7,austin_centre;austin_rural;austin_suburban;la_centre;la_urban;nyc_centre;nyc_rural
HighriseApartment,32,32,32,5,austin_centre;la_centre;la_urban;nyc_centre;nyc_urban
LargeHotel,32,32,32,4,austin_centre;la_centre;la_urban;nyc_centre
Warehouse,32,32,32,4,la_centre;la_rural;la_suburban;la_urban
SuperTallBuilding,24,24,24,2,austin_centre;nyc_centre
SecondarySchool,11,11,11,6,austin_centre;austin_suburban;la_centre;la_urban;nyc_centre;nyc_urban
SmallHotel,8,8,8,3,la_centre;la_urban;nyc_rural
Outpatient,6,6,6,4,austin_rural;austin_urban;la_centre;nyc_rural
Hospital,5,5,5,2,austin_urban;nyc_urban
SuperMarket,5,5,5,4,austin_rural;austin_urban;la_urban;nyc_rural
PrimarySchool,2,2,2,2,la_suburban;nyc_rural
