cell,radius,k,mnar_threshold,n_rows,n_missing,n_filled,n_mnar_blocked,n_silent_no_donor,confidence_dist,exception
nyc_suburban,250.0,10,0.6,1589,1589,0,1589,0,{},
nyc_suburban,500.0,10,0.6,1589,1589,0,1589,0,{},
nyc_suburban,1000.0,10,0.6,1589,1589,0,1589,0,{},
nyc_rural,250.0,10,0.6,198,198,0,197,1,{},
nyc_rural,500.0,10,0.6,198,198,0,198,0,{},
nyc_rural,1000.0,10,0.6,198,198,0,198,0,{},
austin_rural,250.0,10,0.6,245,245,0,244,1,{},
austin_rural,500.0,10,0.6,245,245,0,245,0,{},
austin_rural,1000.0,10,0.6,245,245,0,245,0,{},
austin_centre,250.0,10,0.6,413,349,21,328,0,{'LOW': 21},
austin_centre,500.0,10,0.6,413,349,20,329,0,{'LOW': 20},
austin_centre,1000.0,10,0.6,413,349,20,329,0,{'LOW': 20},
