key,level,n,pooled_total_eui,pooled_heating_eui,pooled_cooling_eui,floor_area_m2,city,archetype_id
austin,city,1520,160.99658222626744,5.96509736870032,28.823749185518093,5896955.25,,
la,city,2330,128.12919205356948,5.376437598133034,17.044207804168526,6815439.49,,
nyc,city,4303,165.2670303935447,23.737512594369445,15.803175242223382,11621191.63,,
austin_centre,cell,413,158.1576686915474,5.023307911046239,28.14496531862993,4357373.15,,
austin_rural,cell,245,154.42467531058088,13.998963879313392,22.82417664352148,154942.52000000002,,
austin_suburban,cell,437,159.01947653627957,13.8619885739591,34.80476480869852,278337.55,,
austin_urban,cell,425,173.5960133092284,6.562528454087267,30.832750515601205,1106302.03,,
la_centre,cell,226,129.73921799174926,5.004587752350981,19.81706190885777,3199552.6500000004,,
la_rural,cell,144,121.45551973316265,19.970363996025547,20.15529420668765,98561.56,,
la_suburban,cell,1343,108.42139423857384,12.201541520663705,7.677500887284057,593361.68,,
la_urban,cell,617,130.59169084061395,3.906377532243433,15.805929299067177,2923963.6000000006,,
nyc_centre,cell,737,166.59271231021515,20.607803867695814,16.31270941896669,10159191.82,,
nyc_rural,cell,198,233.6318461451533,77.07875751602579,14.692202849317773,48282.83,,
nyc_suburban,cell,1589,188.66478718932916,85.38646170511902,7.6429606576732745,182145.03999999998,,
nyc_urban,cell,1779,148.190895151169,38.34550596317679,12.850467552822638,1231571.94,,
austin:Courthouse,archetype_matched,28,169.22356447572938,23.283307953983417,55.182667610301124,195947.51000000004,austin,Courthouse
austin:FullServiceRestaurant,archetype_matched,19,1032.3170277087404,94.9481394186801,125.04759635058326,7699.12,austin,FullServiceRestaurant
austin:HighriseApartment,archetype_matched,8,107.74937171952261,0.09898458281648428,24.35823290245745,921762.8399999996,austin,HighriseApartment
austin:LargeHotel,archetype_matched,2,380.48346487878104,14.351404354271919,76.16597138898842,73520.04,austin,LargeHotel
austin:LargeOffice,archetype_matched,60,159.88956063081187,9.858006538558708,29.376202725094103,1318470.81,austin,LargeOffice
austin:MediumOffice,archetype_matched,105,148.2213790357982,12.178734823413981,27.33511670980746,290924.20999999996,austin,MediumOffice
austin:MidriseApartment,archetype_matched,31,110.64938211243795,9.030233943084673,15.524726090738511,50310.38,austin,MidriseApartment
austin:OpenUBEMUnknown,archetype_matched,73,132.68280861632243,5.6029425987081325,27.132896515120482,152037.73,austin,OpenUBEMUnknown
austin:Outpatient,archetype_matched,4,228.19717124994162,8.871165414624684,45.291286081132796,4104.99,austin,Outpatient
austin:QuickServiceRestaurant,archetype_matched,39,1464.3230150247055,71.06985782250801,138.27415526876536,14315.410000000002,austin,QuickServiceRestaurant
austin:RetailStandalone,archetype_matched,44,176.0021530707972,20.62003884695494,32.259164353000074,27606.929999999997,austin,RetailStandalone
austin:SecondarySchool,archetype_matched,4,233.82202994148756,7.08857525896833,50.886090363200964,54570.81,austin,SecondarySchool
austin:SmallOffice,archetype_matched,1077,102.87933120473483,11.605426014141834,24.686819322454443,522214.31000000006,austin,SmallOffice
austin:SuperMarket,archetype_matched,3,328.7705203724785,10.900645438630402,35.885847040434534,20228.56,austin,SuperMarket
austin:TallBuilding,archetype_matched,16,169.74224623664298,1.0333130250626352,24.398102787208124,1225663.5099999998,austin,TallBuilding
la:Courthouse,archetype_matched,24,114.33810985882867,9.245785816022952,23.17633295234941,968578.23,la,Courthouse
la:FullServiceRestaurant,archetype_matched,4,900.7870126015048,39.94185641044251,52.35434295485786,2077.8199999999997,la,FullServiceRestaurant
la:HighriseApartment,archetype_matched,22,102.56604621821243,0.11643611321300991,16.658325544555286,472732.54000000004,la,HighriseApartment
la:LargeHotel,archetype_matched,5,375.1260560655154,14.153963104937548,67.1658148200019,47850.21000000001,la,LargeHotel
la:LargeOffice,archetype_matched,64,143.6386240786574,4.498082156379763,21.54797071793345,1803035.86,la,LargeOffice
la:MediumOffice,archetype_matched,60,141.92548186103633,10.296608221016866,17.45584831599287,295069.10000000003,la,MediumOffice
la:MidriseApartment,archetype_matched,1753,99.0876907573687,5.433855325876128,5.597912017455319,1792426.52,la,MidriseApartment
la:OpenUBEMUnknown,archetype_matched,19,130.90174420642293,2.5061014190471815,18.54799573839199,68377.98999999999,la,OpenUBEMUnknown
la:Outpatient,archetype_matched,1,200.19587164502732,2.7839825971946914,23.785913974253777,51384.95999999997,la,Outpatient
la:QuickServiceRestaurant,archetype_matched,2,1340.4969509887578,19.577052250396537,63.49770944312909,1240.27,la,QuickServiceRestaurant
la:RetailStandalone,archetype_matched,90,152.75436162821066,7.363352388101,23.679343012779878,440981.65,la,RetailStandalone
la:SecondarySchool,archetype_matched,3,203.84993469504576,0.6168787588201542,26.807906172942165,30363.510000000002,la,SecondarySchool
la:SmallOffice,archetype_matched,239,93.86674762981707,9.902699074786364,17.391417082630895,153497.64999999997,la,SmallOffice
la:SuperMarket,archetype_matched,1,311.35214918248084,3.3197048896742976,27.92993621116033,13360.05,la,SuperMarket
la:TallBuilding,archetype_matched,6,166.49335868952173,0.7264194114081759,19.016030300239517,593240.07,la,TallBuilding
nyc:Courthouse,archetype_matched,16,175.23548171316034,70.62666610084358,20.318783171820403,66865.49,nyc,Courthouse
nyc:FullServiceRestaurant,archetype_matched,10,1014.8637675634751,153.75468968535077,49.44350927915911,12476.150000000001,nyc,FullServiceRestaurant
nyc:HighriseApartment,archetype_matched,2,112.13566205842369,10.279546452697824,11.630193493419025,17834.659999999996,nyc,HighriseApartment
nyc:LargeHotel,archetype_matched,25,421.0142347433686,58.951826880297396,64.89899122811627,228397.62,nyc,LargeHotel
nyc:LargeOffice,archetype_matched,133,178.80343896203138,42.493954030330805,17.528289298580177,1831100.18,nyc,LargeOffice
nyc:MediumOffice,archetype_matched,226,173.19308961506516,48.258863940266465,12.360156175536808,1167409.81,nyc,MediumOffice
nyc:MidriseApartment,archetype_matched,1034,140.2000015079364,40.70493971591982,5.935255727577191,359441.36,nyc,MidriseApartment
nyc:OpenUBEMUnknown,archetype_matched,558,98.7718923529407,15.150439697929265,9.15965118151587,650236.3199999998,nyc,OpenUBEMUnknown
nyc:Outpatient,archetype_matched,1,248.1822481151013,70.62761681753425,21.581546358071293,297.56,nyc,Outpatient
nyc:QuickServiceRestaurant,archetype_matched,9,1523.1862223877106,211.66635565087083,54.359602144139004,4457.389999999999,nyc,QuickServiceRestaurant
nyc:RetailStandalone,archetype_matched,6,201.65540440359177,61.61334885579052,16.468662562016988,16939.629999999997,nyc,RetailStandalone
nyc:SecondarySchool,archetype_matched,4,253.00525795075828,43.24538010377373,23.266036408968425,33761.18,nyc,SecondarySchool
nyc:SmallOffice,archetype_matched,2181,124.12066657043034,43.41028656143299,10.991261725958065,912829.66,nyc,SmallOffice
nyc:SuperMarket,archetype_matched,1,357.3900903688341,57.36257292375712,19.00071217629197,1239.86,nyc,SuperMarket
nyc:TallBuilding,archetype_matched,70,179.97906159654553,12.324757197999437,15.906891486703898,2343829.0999999996,nyc,TallBuilding
