cell,osm_id,raw_building_tag,raw_function_tag,persisted_levels,persisted_height_m,archetype_id,simulation_status
austin_centre,way/37417989,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/42806788,public,,1.0,3.5,Courthouse,success
austin_centre,way/55932517,yes,restaurant,1.0,3.5,FullServiceRestaurant,success
austin_centre,way/55932518,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/55932528,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/55932530,office,,1.0,3.5,LargeOffice,success
austin_centre,way/55932533,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/99256722,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/99256729,parking,,1.0,3.5,OpenUBEMUnknown,success
austin_centre,way/99259744,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/99259757,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/99259768,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/99725028,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/99725029,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/99725036,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/99868608,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/99868613,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/99868637,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/99868651,yes,alcohol,1.0,3.5,SmallOffice,success
austin_centre,way/112834456,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/112834509,yes,yes,1.0,3.5,MediumOffice,success
austin_centre,way/112836380,retail,,1.0,3.5,RetailStandalone,success
austin_centre,way/112836382,government,,1.0,3.5,Courthouse,success
austin_centre,way/112836384,retail,,1.0,3.5,RetailStandalone,success
austin_centre,way/112836385,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/112836386,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/134807227,apartments,,1.0,3.5,HighriseApartment,success
austin_centre,way/134807228,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/134807229,retail,restaurant,1.0,3.5,FullServiceRestaurant,success
austin_centre,way/135049613,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/135049616,yes,parking,1.0,3.5,MediumOffice,success
austin_centre,way/135049618,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/135049619,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/135049620,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/135049621,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/135049622,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/135049626,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/206163833,yes,fire_station,1.0,3.5,Courthouse,success
austin_centre,way/224057337,yes,yes,1.0,3.5,MediumOffice,success
austin_centre,way/231123149,hotel,,1.0,3.5,LargeOffice,success
austin_centre,way/231123153,yes,events_venue,1.0,3.5,MediumOffice,success
austin_centre,way/231123155,yes,bar,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/231123157,retail,,1.0,3.5,RetailStandalone,success
austin_centre,way/231123159,yes,nightclub,1.0,3.5,SmallOffice,success
austin_centre,way/231123161,yes,nightclub,1.0,3.5,SmallOffice,success
austin_centre,way/231125471,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/231125475,yes,government,1.0,3.5,Courthouse,success
austin_centre,way/328520419,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520420,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520421,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520422,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520424,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520425,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520426,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520427,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328520428,yes,fast_food,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/328526439,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526441,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526442,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526443,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526444,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526445,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526446,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526447,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526448,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526449,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526450,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526451,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526452,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328526453,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328526455,yes,cinema,1.0,3.5,MediumOffice,success
austin_centre,way/328529688,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529689,yes,fast_food,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/328529690,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328529693,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529696,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529698,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529699,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529700,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529701,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529702,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328529704,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529706,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529708,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328529709,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529710,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328529714,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535176,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535177,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535178,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535179,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535180,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535181,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328535182,yes,nightclub,1.0,3.5,SmallOffice,success
austin_centre,way/328605829,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328605831,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328605855,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328607264,yes,bar,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/328607266,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328607274,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328607279,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622249,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622250,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622252,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622253,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622254,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622255,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622256,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622257,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622258,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622259,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622260,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622261,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622262,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328622263,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622264,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622265,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622267,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622268,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328622269,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622270,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622271,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328622272,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328631273,retail,,1.0,3.5,RetailStandalone,success
austin_centre,way/328631274,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328631275,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328631276,yes,restaurant,1.0,3.5,FullServiceRestaurant,success
austin_centre,way/328631277,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328631281,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328631284,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328631287,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328631290,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328631294,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328631296,yes,bar,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/328634434,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328634437,yes,bar,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/328634439,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328634445,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328634447,yes,clothes,1.0,3.5,SmallOffice,success
austin_centre,way/328634454,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328634456,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328634464,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328634466,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328644611,church,place_of_worship,1.0,3.5,Courthouse,success
austin_centre,way/328644614,church,place_of_worship,1.0,3.5,Courthouse,success
austin_centre,way/328644616,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328644617,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328644618,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/328644620,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328644622,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328649869,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328649870,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328649882,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328649889,cathedral,place_of_worship,1.0,3.5,Courthouse,success
austin_centre,way/328707704,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/328723692,hotel,,1.0,3.5,LargeOffice,success
austin_centre,way/379166187,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/379166225,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/379166282,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/516276237,residential,,1.0,3.5,HighriseApartment,success
austin_centre,way/516282872,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/516282876,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/516285440,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/516285444,school,,1.0,3.5,SecondarySchool,success
austin_centre,way/516285445,school,,1.0,3.5,SecondarySchool,success
austin_centre,way/516285449,yes,parking,1.0,3.5,LargeOffice,success
austin_centre,way/516286383,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/516286384,yes,parking,1.0,3.5,MediumOffice,success
austin_centre,way/516286386,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/516286387,commercial,cannabis,1.0,3.5,SmallOffice,success
austin_centre,way/516286388,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/516289338,yes,parking,1.0,3.5,MediumOffice,success
austin_centre,way/584933755,yes,,1.0,3.5,SmallOffice,success
austin_centre,way/772280775,yes,restaurant,1.0,3.5,FullServiceRestaurant,success
austin_centre,way/772281126,yes,bar,1.0,3.5,QuickServiceRestaurant,success
austin_centre,way/849984849,yes,shelter,1.0,3.5,SmallOffice,success
austin_centre,way/923358549,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/927242882,yes,,1.0,3.5,LargeOffice,success
austin_centre,way/929863362,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/929864020,yes,,1.0,3.5,MediumOffice,success
austin_centre,way/929865592,yes,nightclub,1.0,3.5,MediumOffice,success
austin_centre,way/929944788,yes,theatre,1.0,3.5,LargeOffice,success
austin_centre,way/967757080,yes,restaurant,1.0,3.5,FullServiceRestaurant,success
austin_centre,way/972423381,roof,,1.0,3.5,OpenUBEMUnknown,success
austin_centre,way/1008727466,roof,,1.0,3.5,OpenUBEMUnknown,success
austin_centre,way/1008727467,roof,,1.0,3.5,OpenUBEMUnknown,success
austin_centre,way/1008727468,roof,,1.0,3.5,OpenUBEMUnknown,success
austin_centre,way/1008727469,roof,,1.0,3.5,OpenUBEMUnknown,success
