cell,osm_id,archetype_id,floor_area_m2,total_eui_kwh_m2,gap_pct,extract_status,extracted_total_kwh,expected_total_kwh,reconcile_rel_err_pct,reconciled_within_2pct,Heating,Cooling,Interior_Lighting,Interior_Equipment,Water_Systems,Fans,Pumps
austin_centre,way/1008727470,OpenUBEMUnknown,87.96,184.760079271868,-9.478189448753,ok,16450.001316,16251.496572753507,1.2214551586547302,True,1333.33344,4038.889212,3769.444746,2783.333556,3444.4447200000004,1080.555642,0.0
austin_centre,way/328529693,SmallOffice,255.06,78.30750372778012,-25.869955493793476,ok,20936.112786,19973.111900807595,4.82148645626658,False,613.888938,3800.000304,2588.8890960000003,6694.444980000001,3466.6669440000005,2805.55578,0.0
austin_centre,way/328649870,MediumOffice,2205.15,94.20995614656434,-25.09879505329332,ok,213377.79484800002,207747.08479659635,2.7103677805715822,False,12997.223262,60388.89372000001,20327.779404000004,79638.89526,16616.667996,17761.112532,16.666668
austin_centre,way/99725026,LargeOffice,10938.850000000002,125.10939313994864,-29.462746127750105,ok,2523055.7574,1368552.8851489273,84.35939047583378,False,81530.562078,266744.465784,111938.897844,962752.854798,52350.004188000006,258808.35403800002,43502.781258
austin_rural,way/1165379866,RetailStandalone,147.36,199.67281895179855,2.667826572711668,ok,29952.780174,29423.786600737036,1.7978432906718844,True,3402.7780500000003,5980.556034,3363.889158,3466.6669440000005,1722.2223600000002,11486.11203,0.0
austin_rural,way/1480414338,SmallOffice,252.14000000000004,77.03488260073941,-26.22039816971916,ok,20377.779408000002,19423.575298950436,4.912607974398651,False,961.1111880000001,3147.222474,2563.889094,6616.667196,3430.5558300000002,2705.555772,0.0
austin_rural,way/762128912,SmallOffice,455.51,72.74973065324326,-21.80394273631177,ok,34863.891678,33138.229809858836,5.207465450154396,False,1277.7778800000003,5002.7781780000005,4666.66704,11955.556512000001,6194.44494,4044.4447680000003,0.0
austin_rural,way/1450171441,SmallOffice,1054.9,68.90282623251862,-18.782566469848472,ok,76675.006134,72685.5913926839,5.4885908814627165,False,2044.4446080000002,10069.44525,11077.778664000001,27686.113326000002,14341.667814000002,7463.889486000001,0.0
austin_suburban,way/382992872,SmallOffice,32.88,112.14715167818056,-30.63771060015672,ok,3811.1114159999997,3687.3983471785773,3.3550231673798363,False,372.222252,883.3334040000001,333.33336,863.888958,447.22225800000007,788.888952,0.0
austin_suburban,way/382991214,SmallOffice,114.39,87.54981510829685,-24.48359391324509,ok,10447.223058,10014.823350238077,4.317596952437939,False,619.4444940000001,2008.3334940000002,1158.3334260000001,3002.7780180000004,1555.55568,1669.444578,0.0
austin_suburban,way/382991392,SmallOffice,200.64,80.89161382783018,-24.291666643044994,ok,16988.890248,16230.093398415847,4.675246352298967,False,800.000064,3013.88913,2036.111274,5266.667088,2727.7779960000003,2386.1113020000003,0.0
austin_suburban,way/382991906,SmallOffice,383.11,75.44346809762438,-21.63386011149885,ok,30352.780206,28903.147062880875,5.015485476254,False,1097.22231,4938.889284000001,3911.111424,10055.55636,5208.333750000001,3694.4447400000004,0.0
austin_urban,way/381824762,SmallOffice,41.85,104.72015378085568,-25.259221445910114,ok,4538.889252,4382.53843572881,3.5675857397286848,False,300.00002400000005,1083.33342,422.222256,1097.22231,569.44449,908.3334060000001,0.0
austin_urban,way/381824551,SmallOffice,133.31,84.93298204523863,-23.38300503790088,ok,11825.000945999998,11322.415836450762,4.4388504786340865,False,463.888926,2361.1113,1350.0001080000002,3500.00028,1813.8890340000003,1836.1112580000001,0.0
austin_urban,way/381824501,SmallOffice,241.51,80.27295544076952,-24.323467671218232,ok,20300.001624,19386.721468500247,4.710854060515908,False,675.0000540000001,3722.2225200000003,2452.777974,6338.8893960000005,3283.3335960000004,2916.6669,0.0
austin_urban,way/381810583,MediumOffice,5210.4400000000005,88.50546013556037,-44.70822006717807,ok,544002.821298,461152.3897087292,17.965955167574954,False,14144.445576000002,134905.56634800002,48100.003848,244791.68625,45566.670312,42236.11449000001,55.55556000000001
la_centre,way/905248736,SmallOffice,140.98,73.98837635225848,-21.23829408510268,ok,10958.33421,10430.881298141401,5.0566476291181885,False,227.777796,1380.555666,1430.5556700000002,3700.000296,1919.444598,1775.000142,0.0
