cell,column,bucket,n_compared,n_match,n_differ,note
nyc_urban,osm_id,REPRODUCES,1779,1779,0,
nyc_urban,footprint_area_m2,STAGE-3-OR-LATER,1779,68,1711,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 1711/1779 spurious differences -- not a Stage-2 defect
nyc_urban,levels,STAGE-3-OR-LATER,1779,17,1762,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 1762/1779 spurious differences -- not a Stage-2 defect
nyc_urban,height_m,STAGE-3-OR-LATER,1779,65,1714,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 1714/1779 spurious differences -- not a Stage-2 defect
nyc_urban,archetype_id,REPRODUCES,1779,1779,0,
nyc_urban,zoning_strategy,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,data_quality_flag,DIFFERS,1779,1764,15,
nyc_urban,heating_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,cooling_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,lighting_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,equipment_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,fans_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,pumps_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,dhw_gas_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,dhw_elec_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,dhw_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,cooking_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,refrigeration_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,total_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_heating_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_cooling_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_lighting_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_equipment_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_fans_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_pumps_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_dhw_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_cooking_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_refrigeration_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,gwp_total_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,iod,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,simulation_status,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,error_summary,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
nyc_urban,geometry,REPRODUCES,1779,,,geometry column; not value-diffed
la_centre,osm_id,REPRODUCES,226,226,0,
la_centre,footprint_area_m2,STAGE-3-OR-LATER,226,1,225,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 225/226 spurious differences -- not a Stage-2 defect
la_centre,levels,STAGE-3-OR-LATER,226,79,147,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 147/226 spurious differences -- not a Stage-2 defect
la_centre,height_m,STAGE-3-OR-LATER,226,3,223,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 223/226 spurious differences -- not a Stage-2 defect
la_centre,archetype_id,DIFFERS,226,222,4,
la_centre,zoning_strategy,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,data_quality_flag,DIFFERS,226,182,44,
la_centre,heating_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,cooling_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,lighting_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,equipment_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,fans_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,pumps_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,dhw_gas_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,dhw_elec_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,dhw_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,cooking_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,refrigeration_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,total_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_heating_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_cooling_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_lighting_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_equipment_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_fans_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_pumps_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_dhw_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_cooking_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_refrigeration_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,gwp_total_kgco2_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,iod,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,simulation_status,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,error_summary,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_centre,geometry,REPRODUCES,226,,,geometry column; not value-diffed
la_urban,osm_id,REPRODUCES,618,618,0,
la_urban,footprint_area_m2,STAGE-3-OR-LATER,618,26,592,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 592/618 spurious differences -- not a Stage-2 defect
la_urban,levels,STAGE-3-OR-LATER,618,30,588,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 588/618 spurious differences -- not a Stage-2 defect
la_urban,height_m,STAGE-3-OR-LATER,618,20,598,raw Stage-1 value (unchanged through classify()) vs committed Stage-3-geometry-derived value; naive compare would show 598/618 spurious differences -- not a Stage-2 defect
la_urban,archetype_id,DIFFERS,618,613,5,
la_urban,zoning_strategy,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,data_quality_flag,DIFFERS,618,582,36,
la_urban,heating_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,cooling_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,lighting_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,equipment_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,fans_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,pumps_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,dhw_gas_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
la_urban,dhw_elec_eui_kwh_m2,STAGE-3-OR-LATER,0,,,produced at Stage 3 (IDF gen) or later; not in gdf_57
