cell,column,osm_id,stage2_value,committed_value
austin_centre,data_quality_flag,way/379166095,"generic_tag,no_floors,no_year|GROUPMODE_MED","generic_tag,no_floors,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_centre,data_quality_flag,way/379166122,"generic_tag,no_function,no_year|GROUPMODE_MED","generic_tag,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_centre,data_quality_flag,way/379166126,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_centre,data_quality_flag,way/1029943786,"generic_tag,no_height,no_year|GROUPMODE_MED","generic_tag,no_height,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/199742458,"no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/381803065,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/381805563,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/381805705,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/381805882,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
austin_urban,data_quality_flag,way/381810530,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
