variant,scale,cell,osm_id,archetype_id,floor_area_m2,parse_status,extract_status,Heating,Cooling,Interior_Lighting,Exterior_Lighting,Interior_Equipment,Exterior_Equipment,Fans,Pumps,Heat_Rejection,Humidification,Heat_Recovery,Water_Systems,Refrigeration,Generators,Total_End_Uses_kwh,sum_end_uses_kwh,reconcile_rel_err_pct,reconciled_within_2pct,eui_kwh_m2,elasticity_minus30,elasticity_plus30,loads_reach_model
scale_1.3,1.3,austin_urban,way/381810583,MediumOffice,5210.4400000000005,success,ok,14144.445576000002,134905.56634800002,48100.003848,9930.55635,244791.68625,4277.77812,42236.11449000001,55.55556000000001,0.0,0.0,0.0,45566.670312,0.0,0.0,544002.821298,544008.376854,0.0010212366154134758,True,104.40631142437107,-0.0,0.0,False
scale_1.3,1.3,la_centre,way/905248736,SmallOffice,140.98,success,ok,227.777796,1380.555666,1430.5556700000002,527.77782,3700.000296,0.0,1775.000142,0.0,0.0,0.0,0.0,1919.444598,0.0,0.0,10958.33421,10961.111988,0.025348542458805613,True,77.72970783089801,-0.0,0.0,False
scale_1.3,1.3,la_centre,way/427817563,Warehouse,2305.6000000000004,success,ok,527.77782,4166.667,11047.223106000001,5591.667114,72325.00578600001,0.0,6430.55607,0.0,0.0,0.0,0.0,3458.33361,0.0,0.0,103550.008284,103547.230506,0.0026825473469498165,True,44.91239082408049,-0.0,0.0,False
scale_1.3,1.3,la_rural,way/472961221,SmallOffice,43.2,success,ok,519.4444860000001,822.222288,436.111146,161.111124,1133.3334240000002,0.0,944.44452,0.0,0.0,0.0,0.0,588.8889360000001,0.0,0.0,4605.555924000001,4605.555924,1.9747772403185087e-14,True,106.61009083333336,-0.0,0.0,False
scale_1.3,1.3,nyc_centre,way/265424467,Courthouse,17769.150000000005,success,ok,733747.280922,379141.696998,454527.81414000003,0.0,652713.941106,0.0,657555.60816,34750.00278,0.0,0.0,0.0,86430.56247,0.0,0.0,2998866.906576,2998866.906576,0.0,True,168.76816879681917,0.2857524709851905,0.2919379092144225,True
scale_1.3,1.3,nyc_rural,way/772627016,SmallOffice,62.07000000000001,success,ok,1905.555708,641.6667180000001,630.555606,233.333352,1627.7779080000003,0.0,922.222296,0.0,0.0,0.0,0.0,847.22229,0.0,0.0,6811.111656,6808.333878,0.04078303425774395,True,109.73274780086997,-0.0,0.0,False
scale_1.3,1.3,nyc_rural,way/772627029,SmallOffice,116.68,success,ok,2508.333534,950.000076,1188.8889840000002,441.66670200000004,3061.111356,0.0,1366.666776,0.0,0.0,0.0,0.0,1588.889016,0.0,0.0,11105.556444,11105.556444,0.0,True,95.17960613644155,-0.0,0.0,False
scale_1.3,1.3,nyc_rural,way/270445757,SmallOffice,216.4,success,ok,3433.333608,1425.000114,2213.889066,816.666732,5680.55601,0.0,2050.000164,0.0,0.0,0.0,0.0,2947.222458,0.0,0.0,18569.445929999998,18566.668152000002,0.014958863126381033,True,85.81074829020332,-0.0,0.0,False
scale_1.3,1.3,nyc_rural,way/772627043,SmallOffice,470.61,success,ok,5502.778218000001,2458.33353,4869.444834000001,1777.7779200000002,12352.778766,0.0,3527.77806,0.0,0.0,0.0,0.0,6411.111624,0.0,0.0,36902.78073,36900.002952,0.0075272864132372745,True,78.4147823675655,-0.0,0.0,False
scale_1.3,1.3,nyc_suburban,way/846412106,OpenUBEMUnknown,32.65,success,ok,3108.333582,966.666744,1055.55564,0.0,1830.555702,0.0,513.8889300000001,0.0,0.0,0.0,0.0,3347.2224900000006,0.0,0.0,10822.223088,10822.223088,0.0,True,331.4616566003063,0.14675615212527976,0.1530201342281879,True
scale_1.3,1.3,nyc_suburban,way/815835776,SmallOffice,111.17,success,ok,3952.7780940000002,733.3333920000001,1133.3334240000002,419.444478,2916.6669,0.0,1480.5556740000002,0.0,0.0,0.0,0.0,1516.666788,0.0,0.0,12152.778750000001,12152.778750000001,0.0,True,109.31707070252767,-0.0,0.0,False
scale_1.3,1.3,nyc_suburban,way/610017070,SmallOffice,149.49,success,ok,4572.2225880000005,902.7778500000001,1525.0001220000001,563.888934,3925.0003140000003,0.0,1786.111254,0.0,0.0,0.0,0.0,2038.889052,0.0,0.0,15313.890114000002,15313.890114000002,0.0,True,102.44089981938592,-0.0,0.0,False
scale_1.3,1.3,nyc_urban,way/241862488,OpenUBEMUnknown,76.02,success,ok,5216.667084000001,1461.111228,2419.4446380000004,0.0,2250.00018,0.0,3322.2224880000003,158.333346,0.0,0.0,0.0,3608.333622,0.0,0.0,18433.334808,18436.112586000003,0.015069318866805173,True,242.4800685082873,0.17251415568608727,0.17833518547917648,True
