cell,stem,osm_id,archetype_id,status,n_volstub,has_volstub,n_converge,has_converge,n_severe,has_severe,n_fatal,has_fatal
nyc_centre,relation_11171765,relation/11171765,OpenUBEMUnknown,success,1,True,0,False,0,False,0,False
nyc_centre,relation_11171793,relation/11171793,OpenUBEMUnknown,success,1,True,0,False,0,False,0,False
nyc_centre,relation_1860567,relation/1860567,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,relation_3565283,relation/3565283,SmallOffice,success,5,True,0,False,0,False,0,False
nyc_centre,relation_3566904,relation/3566904,LargeOffice,success,14,True,0,False,0,False,0,False
nyc_centre,relation_3576199,relation/3576199,LargeOffice,success,14,True,0,False,0,False,0,False
nyc_centre,relation_3576201,relation/3576201,LargeHotel,success,10,True,0,False,0,False,0,False
nyc_centre,way_109284804,way/109284804,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_109284807,way/109284807,TallBuilding,success,39,True,0,False,0,False,0,False
nyc_centre,way_109285745,way/109285745,SuperTallBuilding,success,47,True,0,False,0,False,0,False
nyc_centre,way_1117680745,way/1117680745,OpenUBEMUnknown,success,1,True,0,False,0,False,0,False
nyc_centre,way_1117866997,way/1117866997,OpenUBEMUnknown,success,1,True,0,False,0,False,0,False
nyc_centre,way_1121582597,way/1121582597,OpenUBEMUnknown,success,1,True,0,False,0,False,0,False
nyc_centre,way_114071252,way/114071252,TallBuilding,success,28,True,0,False,0,False,0,False
nyc_centre,way_1197731542,way/1197731542,SuperTallBuilding,success,46,True,0,False,0,False,0,False
nyc_centre,way_1240348353,way/1240348353,SuperTallBuilding,success,93,True,0,False,0,False,0,False
nyc_centre,way_1240350113,way/1240350113,SuperTallBuilding,success,88,True,0,False,0,False,0,False
nyc_centre,way_1317983503,way/1317983503,MediumOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_137716320,way/137716320,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_138022483,way/138022483,LargeOffice,success,5,True,0,False,0,False,0,False
nyc_centre,way_143858914,way/143858914,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_148457887,way/148457887,TallBuilding,success,36,True,0,False,0,False,0,False
nyc_centre,way_157835453,way/157835453,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_159837290,way/159837290,TallBuilding,success,39,True,0,False,0,False,0,False
nyc_centre,way_160915057,way/160915057,MediumOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_161173093,way/161173093,MediumOffice,success,30,True,0,False,0,False,0,False
nyc_centre,way_161849936,way/161849936,SuperTallBuilding,success,55,True,0,False,0,False,0,False
nyc_centre,way_162004802,way/162004802,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_162695595,way/162695595,TallBuilding,success,28,True,0,False,0,False,0,False
nyc_centre,way_162977896,way/162977896,MediumOffice,success,8,True,0,False,0,False,0,False
nyc_centre,way_163465869,way/163465869,SuperTallBuilding,success,45,True,0,False,0,False,0,False
nyc_centre,way_163474780,way/163474780,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_163629929,way/163629929,LargeOffice,success,56,True,0,False,0,False,0,False
nyc_centre,way_163631696,way/163631696,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_165439147,way/165439147,TallBuilding,success,32,True,0,False,0,False,0,False
nyc_centre,way_165439153,way/165439153,MidriseApartment,success,8,True,0,False,0,False,0,False
nyc_centre,way_218327129,way/218327129,LargeOffice,success,96,True,0,False,0,False,0,False
nyc_centre,way_218333949,way/218333949,SuperTallBuilding,success,40,True,0,False,0,False,0,False
nyc_centre,way_258619240,way/258619240,SmallOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_258646143,way/258646143,Courthouse,success,2,True,0,False,0,False,0,False
nyc_centre,way_258646144,way/258646144,SmallOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_260085134,way/260085134,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_260085136,way/260085136,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_260085159,way/260085159,LargeOffice,success,1,True,0,False,0,False,0,False
nyc_centre,way_260180778,way/260180778,LargeHotel,success,19,True,0,False,0,False,0,False
nyc_centre,way_265276997,way/265276997,SmallOffice,success,4,True,0,False,0,False,0,False
nyc_centre,way_265277022,way/265277022,SmallOffice,success,4,True,0,False,0,False,0,False
nyc_centre,way_265281597,way/265281597,MediumOffice,success,140,True,0,False,0,False,0,False
nyc_centre,way_265281598,way/265281598,TallBuilding,success,29,True,0,False,0,False,0,False
nyc_centre,way_265296083,way/265296083,SmallOffice,success,5,True,0,False,0,False,0,False
nyc_centre,way_265296085,way/265296085,SmallOffice,success,5,True,0,False,0,False,0,False
nyc_centre,way_265296086,way/265296086,SmallOffice,success,2,True,0,False,0,False,0,False
