cell,osm_id,archetype_id,use_class,recovered_levels,recovered_lev_src,genuine_disagreement
nyc_suburban,way/813304053,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304054,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304056,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304057,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304059,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304060,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304061,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813304062,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470152,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470153,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470154,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470158,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470159,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470161,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470162,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470164,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470165,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470167,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470168,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470169,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470170,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470171,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470172,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470173,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470174,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470176,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470177,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470178,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470179,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470180,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470182,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470184,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470186,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470187,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470192,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470193,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470195,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470196,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470197,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470200,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470202,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470204,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470205,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470206,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470209,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470210,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470211,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470212,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470214,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470216,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470217,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470218,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470219,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470220,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470221,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470222,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470223,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470225,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470227,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470230,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470231,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470232,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470233,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470236,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470237,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470240,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470241,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470242,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470243,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470245,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470247,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470249,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470250,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470253,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470255,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470256,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470257,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470259,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813470260,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473569,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473570,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473572,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473574,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473575,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473576,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473577,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473579,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473580,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473581,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473583,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473584,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/813473585,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
