osm_id,neither,height_only,cell,persisted_levels
way/42496314,False,True,nyc_centre,51.0
way/42496352,True,False,nyc_centre,1.0
way/42500728,True,False,nyc_centre,1.0
way/86121620,True,False,nyc_centre,1.0
way/86121621,False,False,nyc_centre,105.0
way/86216914,False,False,nyc_centre,40.0
way/91200880,True,False,nyc_centre,1.0
way/91200920,True,False,nyc_centre,1.0
way/109284804,True,False,nyc_centre,1.0
way/109284807,False,True,nyc_centre,39.0
way/109285745,False,False,nyc_centre,47.0
way/114071252,False,False,nyc_centre,28.0
way/137716320,True,False,nyc_centre,1.0
way/138022483,False,False,nyc_centre,5.0
way/143858914,True,False,nyc_centre,1.0
way/148457887,False,False,nyc_centre,36.0
way/157835453,True,False,nyc_centre,1.0
way/159837290,False,True,nyc_centre,39.0
way/160915057,True,False,nyc_centre,1.0
way/161173093,False,False,nyc_centre,6.0
way/161849936,False,False,nyc_centre,55.0
way/162004802,True,False,nyc_centre,1.0
way/162695595,False,False,nyc_centre,28.0
way/162977896,False,False,nyc_centre,8.0
way/163465869,False,True,nyc_centre,45.0
way/163474780,True,False,nyc_centre,1.0
way/163629929,False,False,nyc_centre,8.0
way/163631696,True,False,nyc_centre,1.0
way/165439147,False,False,nyc_centre,32.0
way/165439153,False,False,nyc_centre,8.0
way/218327129,False,False,nyc_centre,12.0
way/218333949,False,False,nyc_centre,40.0
way/258619240,False,False,nyc_centre,1.0
way/258646143,False,False,nyc_centre,2.0
way/258646144,False,False,nyc_centre,1.0
way/260085134,True,False,nyc_centre,1.0
way/260085136,True,False,nyc_centre,1.0
way/260085159,True,False,nyc_centre,1.0
way/260180778,True,False,nyc_centre,1.0
way/265276997,False,False,nyc_centre,4.0
way/265277022,False,False,nyc_centre,4.0
way/265281597,False,False,nyc_centre,14.0
way/265281598,False,False,nyc_centre,29.0
way/265296083,False,False,nyc_centre,5.0
way/265296085,False,False,nyc_centre,5.0
way/265296086,False,False,nyc_centre,2.0
way/265296088,False,False,nyc_centre,15.0
way/265296090,False,False,nyc_centre,15.0
way/265296092,False,False,nyc_centre,16.0
way/265296095,False,False,nyc_centre,5.0
way/265296097,False,False,nyc_centre,5.0
