cell,osm_id,percentile_slot,footprint_area_m2,levels,archetype_id,auto_total_eui_kwh_m2,auto_floor_area_m2,parse_status,sim_outcome,total_eui_kwh_m2,floor_area_m2,num_zones,sql_size_bytes,error_summary
austin_centre,way/1008727470,10,87.96401918451274,1.0,OpenUBEMUnknown,204.10559416205,87.96,success,success,184.76007927186797,87.96,1,2478080,
austin_centre,way/328529693,35,269.23488717468206,1.0,SmallOffice,105.63531190275197,269.23,success,success,78.30750372778012,255.06,6,8400896,
austin_centre,way/328649870,65,735.0465280042804,1.0,MediumOffice,125.77895938202344,735.05,success,success,94.20995614656434,2205.1499999999996,18,22958080,
austin_centre,way/99725026,90,2734.701437289976,7.0,LargeOffice,177.3664074965754,19142.9,success,success,125.10939313994865,10938.850000000002,23,29245440,
austin_rural,way/1165379866,10,147.35788353739764,1.0,RetailStandalone,194.4843147238398,147.36,success,success,199.67281895179858,147.36,5,7782400,
austin_rural,way/1480414338,35,266.1512425910028,1.0,SmallOffice,104.41216906801267,266.15,success,success,77.03488260073941,252.14000000000004,6,8392704,
austin_rural,way/762128912,65,480.8357613818914,1.0,SmallOffice,93.03503680232984,480.84,success,success,72.74973065324326,455.51,6,8392704,
austin_rural,way/1450171441,90,1113.5412356904458,1.0,SmallOffice,84.83748283789197,1113.54,success,success,68.90282623251862,1054.9,6,8388608,
austin_suburban,way/382992872,10,34.698687196877344,1.0,SmallOffice,161.6831748901788,34.7,success,success,112.14715167818056,32.88,6,8404992,
austin_suburban,way/382991214,35,121.2045366882686,2.0,SmallOffice,115.93482747009664,242.4,success,success,87.54981510829685,114.39,6,8404992,
austin_suburban,way/382991392,65,212.8083586698783,2.0,SmallOffice,106.84638036665882,425.62,success,success,80.89161382783018,200.64,6,8404992,
austin_suburban,way/382991906,90,404.4086002290343,3.0,SmallOffice,96.27049157322904,1213.23,success,success,75.44346809762438,383.10999999999996,6,8404992,
austin_urban,way/381824762,10,44.17304190922247,2.0,SmallOffice,140.11113585747535,88.34,success,success,104.72015378085568,41.849999999999994,6,8396800,
austin_urban,way/381824551,35,140.53166012594207,2.0,SmallOffice,110.85397187302016,281.06,success,success,84.93298204523863,133.31,6,8400896,
austin_urban,way/381824501,65,254.92014940845507,3.0,SmallOffice,106.07377607105236,764.76,success,success,80.27295544076952,241.51000000000002,6,8400896,
austin_urban,way/381810583,90,1302.3881620059808,4.0,MediumOffice,160.06983360472785,5209.56,success,success,88.50546013556037,5210.4400000000005,18,22978560,
la_centre,way/905248736,10,149.45043450140827,1.0,SmallOffice,93.93952999469506,149.45,success,success,73.98837635225848,140.98,6,8351744,
la_centre,way/427817563,35,548.1645085144193,4.0,Warehouse,18.64288271807811,2192.64,success,success,15.366202850074906,2305.6000000000004,3,5103616,
la_centre,way/425993516,65,1466.4426264501471,11.0,LargeOffice,150.70829480544836,16130.840000000004,success,success,111.08068518409787,5876.790000000003,23,29040640,
la_centre,way/425993511,90,4906.046706267225,18.0,Courthouse,119.76530490839156,88308.90000000001,success,success,100.79614038405174,88308.90000000002,90,130949120,
