cell,city,mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,zoning_strategy,num_zones,heating_eui,cooling_eui,lighting_eui,equipment_eui,fans_eui,pumps_eui,dhw_eui,cooking_eui,refrig_eui,total_eui,phaseE_total_eui
nyc_centre,NYC,building,way/42496314,SuperTallBuilding,303907.028834548,success,False,single_zone,1,18.72294030896712,1.1268807828845977,0.5189235411454236,0.8639858057372256,0.9922118395165083,0.0,0.9099106781024383,0.0,0.0,23.134852956353313,149.17759578560145
nyc_centre,NYC,building,way/42496352,MediumOffice,2814.5294135285308,success,False,single_zone,1,22.180431511367754,10.204124726707603,26.465100598413006,44.06327609260917,6.653741811985244,0.0,4.561751980290616,0.0,0.0,114.1284267213734,114.92089697769664
nyc_centre,NYC,building,way/42500728,MediumOffice,1633.0022917991948,success,False,single_zone,1,27.708893546583628,10.532594380609629,26.465100598411894,44.063276092574384,6.601371054392392,0.0,5.3708095783244,0.0,0.0,120.74204525089633,121.52629676059351
nyc_centre,NYC,building,way/86121620,LargeOffice,4626.279203848195,success,False,single_zone,1,15.762835117348558,6.980209425033014,26.465100598399697,44.06327609259376,5.8596712504388,0.0,3.207230288659249,0.0,0.0,102.33832277247309,103.16514123360645
nyc_centre,NYC,building,way/86121621,SuperTallBuilding,840719.8799161699,success,False,single_zone,1,12.361700144692033,1.0951044753596202,0.25204857712772283,0.419650248501039,0.9254842950365638,0.0,0.4405072645118721,0.0,0.0,15.494495005228849,126.17314614295012
nyc_centre,NYC,building,way/86216914,SuperTallBuilding,110621.42092516378,success,False,single_zone,1,20.040447414409183,1.951484328750762,0.6616275149603141,1.1015819023161755,1.6487312090302537,0.0,1.17383542636472,0.0,0.0,26.577707795831408,166.68309014403258
nyc_centre,NYC,building,way/91200880,MediumOffice,1301.287936545484,success,False,single_zone,1,30.88956214464494,13.857246802525564,26.46510059838699,44.06327609259012,9.020212389525296,0.0,5.86978698660173,0.0,0.0,130.16518501427464,128.10665040498375
nyc_centre,NYC,building,way/91200920,MediumOffice,1324.0168280864827,success,False,single_zone,1,32.84617359529864,12.434738419609554,26.465100598391963,44.06327609259805,7.109803653209669,0.0,5.80063081318687,0.0,0.0,128.71972317229475,128.20166041867589
nyc_centre,NYC,building,way/109284804,MediumOffice,2452.727707087475,success,False,single_zone,1,19.931469294592432,10.540571585998604,26.46510059838934,44.06327609261066,6.7475466032071125,0.0,4.612905697054827,0.0,0.0,112.36086987185296,113.38443929246816
nyc_centre,NYC,building,way/109284807,TallBuilding,199056.18232612792,success,False,single_zone,1,17.252703477243102,1.6403133746813654,0.6785923230360091,1.1298275921182142,1.2875872171524303,0.0,1.3164893947409217,0.0,0.0,23.305513378972044,165.90519696990953
nyc_centre,NYC,building,way/109285745,SuperTallBuilding,92071.7356696934,success,False,single_zone,1,20.762957941258783,2.737456216620464,0.5630872467742899,0.9375165126083191,2.4035879084037552,0.0,1.011068282615816,0.0,0.0,28.415674108281426,167.92028595150396
nyc_centre,NYC,building,way/114071252,TallBuilding,54627.23051199867,success,False,single_zone,1,23.89254252092677,2.610567683625005,0.9451821642280699,1.5736884318792645,2.707998110036865,0.0,1.870848475876627,0.0,0.0,33.6008273865726,176.55124297440526
nyc_centre,NYC,building,way/137716320,MediumOffice,3568.6186281167643,success,False,single_zone,1,19.66858239957797,10.551947841672485,26.465100598397207,44.063276092594634,6.305083477205236,0.0,4.323562645607022,0.0,0.0,111.37755305505455,110.18704723867475
nyc_centre,NYC,building,way/138022483,LargeOffice,20805.56735647004,success,False,single_zone,1,20.084386324638867,1.8478358493643572,5.293020119677922,8.812655218522313,1.6043294336178626,0.0,0.658860844584688,0.0,0.0,38.30108779040601,123.27919263497184
nyc_centre,NYC,building,way/143858914,MediumOffice,2209.586682869855,success,False,single_zone,1,31.027259348461037,10.66832836416827,26.46510059840023,44.06327609260404,6.463314718723387,0.0,4.873087312137458,0.0,0.0,123.56036643449443,123.4030805425842
nyc_centre,NYC,building,way/148457887,TallBuilding,140061.85405196983,success,False,single_zone,1,18.8398917092586,1.5974089738051522,0.7351416832888723,1.223979891460861,1.2961488952448514,0.0,1.4336713653583844,0.0,0.0,25.126242518416717,169.81273038941737
nyc_centre,NYC,building,way/157835453,LargeOffice,5180.719472059762,success,False,single_zone,1,19.209344206631943,7.809431702509517,26.46510059839909,44.063276092600745,6.482173599842743,0.0,3.1359081535676228,0.0,0.0,107.16523435355165,106.35616022864455
nyc_centre,NYC,building,way/159837290,TallBuilding,126820.56271982155,success,False,single_zone,1,19.10844646087792,1.9084033089003274,0.6785923230357755,1.1298275921182381,1.5628172855076077,0.0,1.3266015799363318,0.0,0.0,25.714688550376206,170.74810050904225
nyc_centre,NYC,building,way/160915057,MediumOffice,1564.2483268399508,success,False,single_zone,1,26.286192883911575,11.854780891888193,26.465100598401847,44.06327609260198,7.826925262946282,0.0,5.45153575443439,0.0,0.0,121.94781148418427,122.5952825753528
nyc_centre,NYC,building,way/161173093,LargeOffice,5773.052883883685,success,False,single_zone,1,32.83263987377831,3.0185644338449915,4.410850099734598,7.343879348765575,3.2280624519602523,0.0,0.975469024768988,0.0,0.0,51.80946523285273,208.6427509713377
nyc_centre,NYC,building,way/161849936,SuperTallBuilding,185829.92743065165,success,False,single_zone,1,21.614120576857175,2.0480201854224034,0.4811836472439481,0.8011504744112009,1.784631325655606,0.0,0.8511392896243608,0.0,0.0,27.580245499214687,167.3861416425009
nyc_centre,NYC,building,way/162004802,MediumOffice,1931.331905766602,success,False,single_zone,1,27.426789790895427,13.259516001659874,26.465100598398184,44.06327609260376,8.198082567708381,0.0,5.078822928977183,0.0,0.0,124.4915879802428,119.74069236904265
nyc_centre,NYC,building,way/162695595,TallBuilding,39337.88135956404,success,False,single_zone,1,31.190471441997843,3.042284955072555,0.9451821642279288,1.57368843187847,3.1608912349933584,0.0,1.8935102853128296,0.0,0.0,41.806028513482985,183.1814863305387
nyc_centre,NYC,building,way/162977896,MediumOffice,2718.2783722809227,success,False,single_zone,1,61.06352676982765,7.983350132063263,3.30813757479968,5.507909511578367,7.199495174212434,0.0,1.614819777933759,0.0,0.0,86.67723894041515,163.7571569695465
nyc_centre,NYC,building,way/163465869,SuperTallBuilding,259486.30969687767,success,False,single_zone,1,19.521982803146614,1.4368394969433886,0.5881133466308108,0.9791839131691787,1.175296945077394,0.0,1.0313346052468229,0.0,0.0,24.732751110214206,156.64558279018115
nyc_centre,NYC,building,way/163474780,LargeOffice,6439.7761542678145,success,False,single_zone,1,16.1526512911762,8.19286595741713,26.465100598397257,44.06327609262167,6.517050342732861,0.0,3.0220480212003986,0.0,0.0,104.4129923035455,102.4157718916959
nyc_centre,NYC,building,way/163629929,LargeOffice,18878.8459107941,success,False,single_zone,1,24.33804111945853,2.581713339745571,3.308137574798726,5.507909511575518,2.6478599270868357,0.0,0.4854114218759503,0.0,0.0,38.86907289454114,179.93181406908818
nyc_centre,NYC,building,way/163631696,MediumOffice,2312.141083926303,success,False,single_zone,1,22.759622543904516,11.824407595598686,26.4651005983958,44.063276092591906,7.1216005260453965,0.0,4.813236299629164,0.0,0.0,117.04724365616548,116.15229413523328
nyc_centre,NYC,building,way/165439147,TallBuilding,31617.44221553376,success,False,single_zone,1,32.94588847928778,3.148258521089694,0.8270343937003118,1.3769773778942012,3.593283442968546,0.0,1.685859323060633,0.0,0.0,43.577301538001166,184.40547146203934
nyc_centre,NYC,building,way/165439153,MidriseApartment,5384.208271142968,success,False,single_zone,1,33.2420193298457,1.1919438215934948,0.49568639306225953,5.424753187499795,1.670867279466445,0.0,4.568936464285802,0.0,0.0,46.594206475753495,100.8509015533748
nyc_centre,NYC,building,way/218327129,LargeOffice,19729.763422561795,success,False,single_zone,1,28.528118239024806,3.0708495235980844,2.247570459873181,3.7421100041876585,2.663736001749047,0.0,0.37680864705055256,0.0,0.0,40.62919287548333,188.24275569096412
nyc_centre,NYC,building,way/218333949,SuperTallBuilding,94044.16666181629,success,False,single_zone,1,15.250211875737971,2.199663420942899,0.6616275149599298,1.1015819023156026,2.0225574093426517,0.0,1.1802026103522707,0.0,0.0,22.415844733651323,164.11249546581675
nyc_centre,NYC,building,way/258619240,SmallOffice,223.80675652163688,success,False,single_zone,1,31.8939078486102,13.079643607961327,26.465100598394102,27.764778058359955,11.940211214836772,0.0,4.456453306031226,0.0,0.0,115.60009463419357,112.97159794367467
nyc_centre,NYC,building,way/258646143,Courthouse,264.67288922435375,success,False,single_zone,1,107.58263899949789,20.735059826693004,9.838327360000797,14.128095029695412,11.116970384691369,0.0,13.350034897807076,0.0,0.0,176.75112649838553,247.28755120528902
nyc_centre,NYC,building,way/258646144,SmallOffice,42.08170935629485,success,False,single_zone,1,78.25282413399596,25.31005364188619,26.465100598392215,27.76477805835681,28.711225861745607,0.0,17.77446302751042,0.0,0.0,204.2784453218872,194.0612815752308
nyc_centre,NYC,building,way/260085134,MediumOffice,3058.359259735589,success,False,single_zone,1,20.222792740765776,10.428943326746726,26.465100598384126,44.063276092595764,6.641494706117632,0.0,4.472591761626458,0.0,0.0,112.29419922623647,111.39118621184878
nyc_centre,NYC,building,way/260085136,MediumOffice,1477.0982133589537,success,False,single_zone,1,28.040903488745794,12.297228060719991,26.46510059840452,44.06327609259361,8.009954353058909,0.0,5.5766363844043205,0.0,0.0,124.45309897792714,122.77603886605205
nyc_centre,NYC,building,way/260085159,MediumOffice,1186.258501121039,success,False,single_zone,1,23.18831272287446,12.14758876046497,26.465100598391906,44.063276092621685,8.063774539475649,0.0,6.092100863926486,0.0,0.0,120.02015357775515,118.31237570227711
