cell,city,archetype_id,heating_eui,heating_eui,heating_eui,cooling_eui,cooling_eui,cooling_eui,lighting_eui,lighting_eui,lighting_eui,equipment_eui,equipment_eui,equipment_eui,fans_eui,fans_eui,fans_eui,pumps_eui,pumps_eui,pumps_eui,dhw_eui,dhw_eui,dhw_eui,cooking_eui,cooking_eui,cooking_eui,refrig_eui,refrig_eui,refrig_eui,total_eui,total_eui,total_eui,phaseE_total_eui,phaseE_total_eui,phaseE_total_eui
,,,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
austin_centre,AUS,Courthouse,11.002463326747053,9.926203618848135,18,47.554513208830116,48.04731798896371,18,19.67665442448845,19.676654701361606,18,28.25618963502207,28.256190032617745,18,24.436926093953023,31.263482398488723,18,0.34902122439963673,0.26809598153270625,18,3.1914496334190616,2.7811522170440828,18,0.0,0.0,18,0.0,0.0,18,134.46721754685942,137.83744080440238,18,162.31601010052847,160.9018084621844,18
austin_centre,AUS,FullServiceRestaurant,64.81469378746412,54.93060375957352,9,157.21192017831098,158.91028414201213,9,20.68114015638012,20.656884280940968,9,224.5491939951529,224.51606973465653,9,66.13760658990238,56.9697707689111,9,0.2424077149425185,0.24237194148801552,9,214.25083416393852,214.25103550974595,9,455.9701984654727,455.90293625273756,9,33.84022647886483,28.17671905988296,9,1237.6982215304292,1214.6513299540159,9,1044.5637826884004,1069.620630255286,9
austin_centre,AUS,HighriseApartment,3.984220381327353,0.3503865678082666,8,71.32527328022152,10.300137989151647,8,15.416872460364392,2.202574195989299,8,139.38547298014453,19.9136917601872,8,33.80891153303863,4.910011012827177,8,6.546459722445386,0.9429937581786225,8,173.35485803139315,24.76667942794807,8,0.0,0.0,8,0.0,0.0,8,443.82206838893495,63.81675019126118,8,98.89303714479917,105.2356546636016,8
austin_centre,AUS,LargeOffice,13.546678665246452,6.712227574219003,48,49.387991425776924,17.689955540685297,48,18.888212180529752,7.506476828064216,48,153.7710598542517,64.54269985869479,48,43.52098451960021,17.61061769376417,48,7.354921458201428,2.921377391218279,48,19.62022077407263,3.509617049162518,48,10.403970029268848,0.0,48,0.06997268598994277,0.0,48,316.5640115929379,117.07253990147301,48,146.9695825127763,162.68012447112426,48
austin_centre,AUS,MediumOffice,15.38950195311879,17.31694222747927,69,73.69748629566494,81.71917607039806,69,25.135671948499116,27.649960769815902,69,101.10603299224043,108.34433887454686,69,21.694420587226183,24.01755895882994,69,0.022941432036875913,0.024513903627924407,69,20.83470312185866,22.606262506894762,69,0.0,0.0,69,0.0,0.0,69,257.880758330645,281.6774440053732,69,128.2855260643381,124.06648376627737,69
austin_centre,AUS,OpenUBEMUnknown,10.921907854481619,6.081297385407954,37,83.42449587477748,84.93050068937842,37,34.25295113041703,34.68460176888508,37,206.42603830942315,203.28493211280815,37,35.311450013739126,27.306757899145307,37,0.013684288620976542,0.0,37,38.4574617135644,33.56846646399226,37,0.0,0.0,37,0.0,0.0,37,408.8079891850238,407.675437785933,37,415.5540343730325,411.4960293199991,37
austin_centre,AUS,QuickServiceRestaurant,75.41382096175757,39.175642631634965,22,162.47898898504835,169.68140706094474,22,23.3865538757313,25.274086875551873,22,264.7140112290255,286.31755663820775,22,77.75634717305047,58.09837287190263,22,1.0354460423553454e-08,1.119949765424035e-08,22,206.88942941795412,223.71550065559705,22,743.0618373923611,803.7037734628652,22,62.178421513292896,43.47438843666362,22,1615.8794105585757,1653.6995411466264,22,1535.4584396100202,1560.6591907289976,22
austin_centre,AUS,RetailStandalone,10.512180665266397,9.38160177476355,13,43.78703507791969,46.14503197425436,13,21.574138299471226,21.223497811992953,13,38.025470134470716,23.527491200869438,13,55.71492170129667,39.062422924342705,13,0.0,0.0,13,11.694606093215311,11.688285492866553,13,0.0,0.0,13,0.0,0.0,13,181.30835197164,197.82221833988265,13,182.9219865887897,186.90744331450423,13
austin_centre,AUS,SecondarySchool,69.38693290280467,69.38693290280467,2,138.99371996511462,138.99371996511462,2,18.060903245474947,18.060903245474947,2,67.04518694955628,67.04518694955628,2,80.97791521357857,80.97791521357857,2,4.833396272388536,4.833396272388536,2,24.959491414540985,24.959491414540985,2,25.62810834403672,25.62810834403672,2,61.38619484551957,61.38619484551957,2,491.27184915301495,491.27184915301495,2,213.75175847723057,213.75175847723057,2
