cell_mode,remote_dir,remote_exists,remote_n_dirs,remote_n_sql,remote_n_end,local_n_dirs,local_missing_sql
austin_suburban_fast_zone,/speed-scratch/o_iseri/fleets/e02_austin_suburban_fast_zone/out,YES,437,437,437,437,437
austin_suburban_floor,/speed-scratch/o_iseri/fleets/e02_austin_suburban_floor/out,YES,437,437,437,437,437
