archetype_id,share_austin,share_la,share_nyc,eui_austin,eui_la,eui_nyc,area_austin,area_la,area_nyc
Courthouse,0.04015830372907677,0.14382938832870268,0.008743883349267425,169.22356447572938,114.33810985882867,175.23548171316034,195947.51000000004,968578.23,66865.49
FullServiceRestaurant,0.0015778899124903884,0.00030854666190168763,0.0016314843463790182,1032.3170277087404,900.7870126015048,1014.8637675634752,7699.12,2077.82,12476.15
HighriseApartment,0.1889099386611056,0.07019859621589263,0.0023322073406453125,107.7493717195226,102.56604621821243,112.13566205842368,921762.8399999996,472732.54,17834.659999999996
LargeHotel,0.015067505050173246,0.007105534919672904,0.029867157879652245,380.483464878781,375.1260560655154,421.0142347433686,73520.04,47850.21000000001,228397.62
LargeOffice,0.27021293225875576,0.26774248774775417,0.23944977259184946,159.88956063081187,143.6386240786574,178.80343896203138,1318470.81,1803035.86,1831100.18
MediumOffice,0.059623226584107715,0.04381639691375348,0.15266014201691258,148.2213790357982,141.92548186103633,173.19308961506516,290924.21,295069.10000000003,1167409.81
MidriseApartment,0.010310820080159573,0.2661670498166629,0.04700351889654945,110.64938211243796,99.0876907573687,140.2000015079364,50310.38,1792426.52,359441.36
OpenUBEMUnknown,0.031159249431745098,0.010153815326663028,0.08503026795342296,132.68280861632243,130.90174420642293,98.7718923529407,152037.73,68377.98999999999,650236.3199999998
Outpatient,0.0008412938507094212,0.007630428949548918,3.891140152278873e-05,228.1971712499416,200.19587164502727,248.1822481151013,4104.99,51384.95999999997,297.56
QuickServiceRestaurant,0.002933860107669972,0.00018417435983713993,0.0005828851056380671,1464.3230150247057,1340.4969509887578,1523.1862223877106,14315.410000000002,1240.27,4457.389999999999
RetailStandalone,0.005657879908590628,0.06548373587096011,0.002215165830681132,176.0021530707972,152.75436162821066,201.65540440359177,27606.93,440981.65,16939.629999999997
SecondarySchool,0.011183970455770218,0.004508840830350324,0.004414890545984489,233.8220299414876,203.84993469504576,253.00525795075828,54570.81,30363.51,33761.18
SmallOffice,0.10702478879496989,0.02279369123276009,0.11936914041595216,102.87933120473484,93.86674762981708,124.12066657043034,522214.31000000006,153497.64999999997,912829.66
SuperMarket,0.0041457258450584705,0.001983905646465835,0.00016213432683171407,328.7705203724785,311.35214918248084,357.3900903688341,20228.56,13360.05,1239.86
TallBuilding,0.2511926153296171,0.08809340717907398,0.30649843799871135,169.74224623664298,166.49335868952173,179.9790615965455,1225663.5099999998,593240.07,2343829.1
