cell,city,osm_id,archetype_id,simulation_status,levels,height_m,num_floors,n_proto,status_shipped,status_proposed_zonegroup
nyc_centre,NYC,way/42496314,SuperTallBuilding,success,51.0,178.5,51,30,fallback_not_expressible,
nyc_centre,NYC,way/42496352,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/42500728,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/86121620,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/86121621,SuperTallBuilding,success,105.0,367.5,105,30,fallback_not_expressible,
nyc_centre,NYC,way/86216914,SuperTallBuilding,success,40.0,140.0,40,30,fallback_not_expressible,
nyc_centre,NYC,way/91200880,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/91200920,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/109284804,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/109284807,TallBuilding,success,39.0,136.5,39,20,fallback_not_expressible,
nyc_centre,NYC,way/109285745,SuperTallBuilding,success,47.0,164.5,47,30,fallback_not_expressible,
nyc_centre,NYC,way/114071252,TallBuilding,success,28.0,98.0,28,20,fallback_not_expressible,
nyc_centre,NYC,way/137716320,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/138022483,LargeOffice,success,5.0,17.5,5,4,fallback_not_expressible,
nyc_centre,NYC,way/143858914,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/148457887,TallBuilding,success,36.0,126.0,36,20,fallback_not_expressible,
nyc_centre,NYC,way/157835453,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/159837290,TallBuilding,success,39.0,136.5,39,20,fallback_not_expressible,
nyc_centre,NYC,way/160915057,MediumOffice,success,1.0,3.5,1,3,fallback_shorter,
nyc_centre,NYC,way/161173093,MediumOffice,success,6.0,21.0,6,3,applied,
nyc_centre,NYC,way/161849936,SuperTallBuilding,success,55.0,192.5,55,30,fallback_not_expressible,
nyc_centre,NYC,way/162004802,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/162695595,TallBuilding,success,28.0,98.0,28,20,fallback_not_expressible,
nyc_centre,NYC,way/162977896,MediumOffice,success,8.0,28.0,8,3,applied,
nyc_centre,NYC,way/163465869,SuperTallBuilding,success,45.0,157.5,45,30,fallback_not_expressible,
nyc_centre,NYC,way/163474780,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/163629929,LargeOffice,success,8.0,28.0,8,4,fallback_not_expressible,
nyc_centre,NYC,way/163631696,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/165439147,TallBuilding,success,32.0,112.0,32,20,fallback_not_expressible,
nyc_centre,NYC,way/165439153,MidriseApartment,success,8.0,28.0,8,3,applied,applied
nyc_centre,NYC,way/218327129,LargeOffice,success,12.0,42.0,12,4,fallback_not_expressible,
nyc_centre,NYC,way/218333949,SuperTallBuilding,success,40.0,140.0,40,30,fallback_not_expressible,
nyc_centre,NYC,way/258619240,SmallOffice,success,1.0,3.5,1,2,fallback_shorter,
nyc_centre,NYC,way/258646144,SmallOffice,success,1.0,3.5,1,2,fallback_shorter,
nyc_centre,NYC,way/260085134,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/260085136,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/260085159,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/260180778,LargeOffice,success,1.0,3.5,1,4,fallback_shorter,
nyc_centre,NYC,way/265276997,SmallOffice,success,4.0,14.0,4,2,fallback_not_expressible,
nyc_centre,NYC,way/265277022,SmallOffice,success,4.0,14.0,4,2,fallback_not_expressible,
nyc_centre,NYC,way/265281597,MediumOffice,success,14.0,49.0,14,3,applied,
nyc_centre,NYC,way/265281598,TallBuilding,success,29.0,101.5,29,20,fallback_not_expressible,
nyc_centre,NYC,way/265296083,SmallOffice,success,5.0,17.5,5,2,fallback_not_expressible,
nyc_centre,NYC,way/265296085,SmallOffice,success,5.0,17.5,5,2,fallback_not_expressible,
nyc_centre,NYC,way/265296086,SmallOffice,success,2.0,7.0,2,2,identity,
