osm_id,cell,use_class,archetype_id,archetype_source,levels_source,old_num_floors,new_num_floors_scope_a,new_num_floors_scope_b,changed_scope_a,changed_scope_b
way/427049845,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049846,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,OSM_OBSERVED,2,2,2,False,False
way/427049847,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,8,8,8,False,False
way/427049848,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/427049849,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049850,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049851,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,3,3,3,False,False
way/427049852,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049854,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049857,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,9,9,9,False,False
way/427049860,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,5,5,5,False,False
way/427049864,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049867,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049869,la_urban,residential,HighriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,10,10,10,False,False
way/427049870,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049871,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049872,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049873,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/427049874,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,5,5,5,False,False
way/427049875,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,1,1,1,False,False
way/427049876,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/427049877,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,1,1,1,False,False
way/427049879,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/427049881,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,1,1,1,False,False
way/427049882,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,8,8,8,False,False
way/427049883,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/427049885,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,1,1,1,False,False
way/427049886,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/427049887,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,2,2,2,False,False
way/427049888,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427049889,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/427049890,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,4,4,4,False,False
way/427270582,la_urban,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,9,9,9,False,False
way/427270585,la_urban,residential,HighriseApartment,RULE_RESIDENTIAL_TIER,OSM_OBSERVED,16,16,16,False,False
way/427270590,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,6,6,6,False,False
way/427274618,la_urban,commercial,FullServiceRestaurant,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,2,2,2,False,False
way/427274621,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/427274623,la_urban,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,13,13,13,False,False
way/427274624,la_urban,unknown,SmallOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,3,3,3,False,False
way/427274629,la_urban,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,15,15,15,False,False
way/427274635,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,6,6,6,False,False
way/427274650,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,8,8,8,False,False
way/427274663,la_urban,commercial,LargeHotel,"RULE_LODGING_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,7,7,7,False,False
way/427274669,la_urban,commercial,MediumOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,6,6,6,False,False
way/427278382,la_urban,commercial,LargeOffice,RULE_USE_CLASS_SIZE,OSM_OBSERVED,12,12,12,False,False
way/427278417,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,4,4,4,False,False
way/427278427,la_urban,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,3,1,True,False
way/427278443,la_urban,commercial,LargeOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,14,14,14,False,False
way/427462755,la_urban,unknown,MediumOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,5,5,5,False,False
way/427462762,la_urban,commercial,LargeOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,17,17,17,False,False
way/427462776,la_urban,unknown,MediumOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,6,6,6,False,False
way/427462795,la_urban,commercial,MediumOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,4,4,4,False,False
way/428556523,la_urban,commercial,SmallOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,4,4,4,False,False
way/428556910,la_urban,commercial,SmallOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,4,4,4,False,False
way/428616791,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,4,4,4,False,False
way/428616994,la_urban,commercial,RetailStandalone,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,2,2,2,False,False
way/428617052,la_urban,commercial,SmallOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,3,3,3,False,False
way/428624177,la_urban,industrial,Warehouse,RULE_FUNCTION_TAG,HEURISTIC_HEIGHT,3,3,3,False,False
way/428624261,la_urban,commercial,SmallOffice,RULE_USE_CLASS_SIZE,HEURISTIC_HEIGHT,2,2,2,False,False
way/428637633,la_urban,unknown,MediumOffice,FALLBACK_SIZE_DEFAULT,HEURISTIC_HEIGHT,4,4,4,False,False
way/428643298,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/428643299,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
way/428643300,la_urban,residential,MidriseApartment,"RULE_RESIDENTIAL_TIER,HEURISTIC_HEIGHT",HEURISTIC_HEIGHT,3,3,3,False,False
