Date/Time,BATIMENT0000000240880001_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880001_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880001_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240880001_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,1864247.9577596625 
 01/01  02:00:00,0.0,0.0,0.0,2253206.123131741 
 01/01  03:00:00,0.0,0.0,0.0,2433959.675106435 
 01/01  04:00:00,0.0,0.0,0.0,2587205.7683319836 
 01/01  05:00:00,0.0,0.0,0.0,2692052.614746034 
 01/01  06:00:00,0.0,0.0,0.0,2836444.415280015 
 01/01  07:00:00,0.0,0.0,0.0,2941917.6914626486 
 01/01  08:00:00,0.0,0.0,0.0,3060044.8281728537 
 01/01  09:00:00,0.0,0.0,0.0,3248488.2757395087 
 01/01  10:00:00,0.0,0.0,0.0,3316365.7088692253 
 01/01  11:00:00,0.0,0.0,0.0,2683978.417034897 
 01/01  12:00:00,0.0,0.0,0.0,1637641.7612961486 
 01/01  13:00:00,0.0,0.0,0.0,820157.4726952359 
 01/01  14:00:00,0.0,0.0,0.0,202029.17440159144 
 01/01  15:00:00,0.0,0.0,0.0,0.0 
 01/01  16:00:00,0.0,0.0,0.0,0.0 
 01/01  17:00:00,0.0,0.0,0.0,368021.53892180434 
 01/01  18:00:00,0.0,0.0,0.0,935608.2904759053 
 01/01  19:00:00,0.0,0.0,0.0,1161278.854487033 
 01/01  20:00:00,0.0,0.0,0.0,1318393.034716025 
 01/01  21:00:00,0.0,0.0,0.0,1375336.1749229168 
 01/01  22:00:00,0.0,0.0,0.0,1391849.2513508936 
 01/01  23:00:00,0.0,0.0,0.0,1504726.9960432053 
 01/01  24:00:00,0.0,0.0,0.0,1562913.9584967643 
 01/02  01:00:00,0.0,0.0,0.0,1516820.8490485314 
 01/02  02:00:00,0.0,0.0,0.0,1448805.9023157111 
 01/02  03:00:00,0.0,0.0,0.0,1464942.7064955528 
 01/02  04:00:00,0.0,0.0,0.0,1540080.8395624976 
 01/02  05:00:00,0.0,0.0,0.0,1628441.8038095685 
 01/02  06:00:00,0.0,0.0,0.0,1734417.1447234899 
 01/02  07:00:00,0.0,0.0,0.0,1755051.9871864142 
 01/02  08:00:00,0.0,0.0,0.0,1800994.7400465948 
 01/02  09:00:00,0.0,0.0,0.0,1906818.4130223363 
 01/02  10:00:00,0.0,0.0,0.0,1955786.5562969514 
 01/02  11:00:00,0.0,0.0,0.0,1764603.9890314727 
 01/02  12:00:00,0.0,0.0,0.0,1270406.7214919915 
 01/02  13:00:00,0.0,0.0,0.0,843972.1121664923 
 01/02  14:00:00,0.0,0.0,0.0,1139946.0014502264 
 01/02  15:00:00,0.0,0.0,0.0,1575292.1108993902 
 01/02  16:00:00,0.0,0.0,0.0,2005541.289097915 
 01/02  17:00:00,0.0,0.0,0.0,2381482.4234455293 
 01/02  18:00:00,0.0,0.0,0.0,3195872.6383713474 
 01/02  19:00:00,0.0,0.0,0.0,3457064.8582403697 
 01/02  20:00:00,0.0,0.0,0.0,3573432.441936784 
 01/02  21:00:00,0.0,0.0,0.0,3671599.1892640754 
 01/02  22:00:00,0.0,0.0,0.0,3811072.418762491 
 01/02  23:00:00,20305.216797144385,0.0,0.0,3991765.421768776 
 01/02  24:00:00,225883.10803024287,0.0,0.0,4296639.174228851 
 01/03  01:00:00,474270.58056924515,0.0,0.0,4676892.667551937 
