measure,count
CTC residential volumetric bodies,2188
Connected components after dissolve,231
Cadastral objects touched by CTC residential bodies,1312
Ruled cadastral building objects,1372
Cadastral residential candidates,1330
ISTAT 2011 residential buildings,1010
