building_id,district,stem,reason
BATIMENT0000000240880574_part0,FR-LYO-HAUTCOEURPENTES,1a2143b5b65cb8ee,HASH_CHANGED
BATIMENT0000000240880627_part0,FR-LYO-HAUTCOEURPENTES,2ce12b054204ba42,HASH_CHANGED
BATIMENT0000000240880639_part0,FR-LYO-HAUTCOEURPENTES,c8ecee0a0419bf90,HASH_CHANGED
BATIMENT0000000240880646_part0,FR-LYO-HAUTCOEURPENTES,9f47e537f95f5cfa,HASH_CHANGED
BATIMENT0000000240881070_part0,FR-LYO-HAUTCOEURPENTES,8b07eace1dde9a4c,HASH_CHANGED
BATIMENT0000000240881088_part0,FR-LYO-HAUTCOEURPENTES,5d0fc39535653b61,HASH_CHANGED
BATIMENT0000000240881103_part0,FR-LYO-HAUTCOEURPENTES,34352cfd8bcd2ed8,HASH_CHANGED
BATIMENT0000000240881123_part0,FR-LYO-HAUTCOEURPENTES,d13c301cc6aaebf2,HASH_CHANGED
BATIMENT0000000240881125_part0,FR-LYO-HAUTCOEURPENTES,d13da0faa59ffc8f,HASH_CHANGED
BATIMENT0000000240881134_part0,FR-LYO-HAUTCOEURPENTES,697142e0a3dc21f5,HASH_CHANGED
BATIMENT0000000240881143_part0,FR-LYO-HAUTCOEURPENTES,983055f6dadf931b,HASH_CHANGED
BATIMENT0000000240881145_part0,FR-LYO-HAUTCOEURPENTES,4f7f428ed7747376,HASH_CHANGED
BATIMENT0000000240881146_part0,FR-LYO-HAUTCOEURPENTES,03584bfb753f7280,HASH_CHANGED
BATIMENT0000000240881147_part0,FR-LYO-HAUTCOEURPENTES,fe29c5e025587e96,HASH_CHANGED
BATIMENT0000000240881150_part0,FR-LYO-HAUTCOEURPENTES,ab17c42020016733,HASH_CHANGED
BATIMENT0000000240881180_part0,FR-LYO-HAUTCOEURPENTES,5dcf4c94b79489c2,HASH_CHANGED
BATIMENT0000000240881188_part0,FR-LYO-HAUTCOEURPENTES,12c1975107f5dafc,HASH_CHANGED
BATIMENT0000000240881191_part0,FR-LYO-HAUTCOEURPENTES,3341e508ad5f31ce,HASH_CHANGED
BATIMENT0000000240881192_part0,FR-LYO-HAUTCOEURPENTES,7185718077b3acc1,HASH_CHANGED
BATIMENT0000000240881213_part0,FR-LYO-HAUTCOEURPENTES,b2ff87d851127d96,HASH_CHANGED
BATIMENT0000000240881215_part0,FR-LYO-HAUTCOEURPENTES,4ff855f3e4b6718e,HASH_CHANGED
BATIMENT0000000240881218_part0,FR-LYO-HAUTCOEURPENTES,1b44c57e749a6afb,HASH_CHANGED
BATIMENT0000000240881220_part0,FR-LYO-HAUTCOEURPENTES,6dd8d578ee19115c,HASH_CHANGED
BATIMENT0000000240881226_part0,FR-LYO-HAUTCOEURPENTES,be2ff32f43dbfb1a,HASH_CHANGED
BATIMENT0000000240881272_part0,FR-LYO-HAUTCOEURPENTES,5e0b3b0906896b5e,HASH_CHANGED
BATIMENT0000000240881294_part0,FR-LYO-HAUTCOEURPENTES,ea75982617cca443,HASH_CHANGED
BATIMENT0000000240881319_part0,FR-LYO-HAUTCOEURPENTES,4d4e2aecd0a4ccc0,HASH_CHANGED
BATIMENT0000000240881521_part0,FR-LYO-HAUTCOEURPENTES,31b3984eb4a5035c,HASH_CHANGED
BATIMENT0000000240881527_part0,FR-LYO-HAUTCOEURPENTES,7e16b0fc77ea653e,HASH_CHANGED
BATIMENT0000000240881529_part0,FR-LYO-HAUTCOEURPENTES,7c528dbb3b9ee2c8,HASH_CHANGED
BATIMENT0000000240881531_part0,FR-LYO-HAUTCOEURPENTES,446f2244c968170f,HASH_CHANGED
BATIMENT0000000240881539_part0,FR-LYO-HAUTCOEURPENTES,a3fabf6169668db3,HASH_CHANGED
BATIMENT0000000240881541_part0,FR-LYO-HAUTCOEURPENTES,34ca246b70aaa4ce,HASH_CHANGED
BATIMENT0000000240881554_part0,FR-LYO-HAUTCOEURPENTES,1b36b68d9f250730,HASH_CHANGED
BATIMENT0000000240881557_part0,FR-LYO-HAUTCOEURPENTES,c6fefe1d3f1f3c29,HASH_CHANGED
BATIMENT0000000240883750_part0,FR-LYO-HAUTCOEURPENTES,343abcd725e67f3d,HASH_CHANGED
