building_id,state
relation/12702629,unchanged
relation/13113579,unchanged
relation/13255968,unchanged
relation/13263926,unchanged
relation/13306448,unchanged
relation/4154504,unchanged
relation/4164982,unchanged
relation/4172530,unchanged
relation/4678507,unchanged
relation/5808697,unchanged
relation/5808698,unchanged
way/100704712,unchanged
way/1548061693,unchanged
way/195286075,unchanged
way/286376573,unchanged
way/286685215,unchanged
way/286685216,unchanged
way/286685217,unchanged
way/286685218,unchanged
way/286685219,unchanged
way/286754285,unchanged
way/286754286,unchanged
way/286754289,unchanged
way/286783497,unchanged
way/287225523,unchanged
way/287496588,unchanged
way/287696581,unchanged
way/287696587,unchanged
way/287696588,unchanged
way/287696590,unchanged
way/287696591,unchanged
way/287696594,unchanged
way/287696595,unchanged
way/287696596,unchanged
way/287939447,unchanged
way/287939451,unchanged
way/287939452,unchanged
way/287939453,unchanged
way/287943069,unchanged
way/288276176,unchanged
way/288450068,unchanged
way/288461983,unchanged
way/288461996,unchanged
way/288461997,unchanged
way/289362368,unchanged
way/289362374,unchanged
way/289364389,unchanged
way/289387275,unchanged
way/289434329,unchanged
way/289434335,unchanged
way/289434336,unchanged
way/289434338,unchanged
way/289510894,unchanged
way/289510898,unchanged
way/289595788,unchanged
way/289692616,unchanged
way/289692618,unchanged
way/289779210,unchanged
way/289979823,unchanged
way/289979824,unchanged
way/290026247,unchanged
way/290026249,unchanged
way/290026259,unchanged
way/290653355,unchanged
way/290662257,unchanged
way/290662258,unchanged
way/290663060,unchanged
way/290663061,unchanged
way/290820835,unchanged
way/290820842,unchanged
way/290820849,unchanged
way/291149502,unchanged
way/291278669,unchanged
way/291278674,unchanged
way/298875931,unchanged
way/310771815,unchanged
way/310771820,unchanged
way/311161166,unchanged
way/311431849,unchanged
way/311431851,unchanged
way/322742257,unchanged
way/340701293,unchanged
way/380242663,unchanged
way/380242664,unchanged
way/380242665,unchanged
way/388485205,unchanged
way/391275430,unchanged
way/391275431,unchanged
way/391275432,unchanged
way/391275434,unchanged
way/391275435,unchanged
way/391279234,unchanged
way/391279239,unchanged
way/400445219,unchanged
way/400445221,unchanged
way/403642591,unchanged
way/403642593,unchanged
way/420409335,unchanged
way/420409352,unchanged
way/420411247,unchanged
way/420411248,unchanged
way/420411249,unchanged
way/420411323,unchanged
way/428478241,unchanged
way/432411455,unchanged
way/432411462,unchanged
way/432411821,unchanged
way/432411825,unchanged
way/432567162,unchanged
way/432738002,unchanged
way/432866212,unchanged
way/432866213,unchanged
way/432867091,unchanged
way/432867099,unchanged
way/433014081,unchanged
way/433014848,unchanged
way/434023856,unchanged
way/434023857,unchanged
way/434023859,unchanged
way/434025438,unchanged
way/434025443,unchanged
way/434049327,unchanged
way/434049329,unchanged
way/434049332,unchanged
way/434878274,unchanged
way/434878285,unchanged
way/434878292,unchanged
way/434899825,unchanged
way/434899828,unchanged
way/434900117,unchanged
way/435212750,unchanged
way/435397043,unchanged
way/435397049,unchanged
way/435449434,unchanged
way/435449440,unchanged
way/435449444,unchanged
way/435508451,unchanged
way/435508452,unchanged
way/435508460,unchanged
way/435509261,unchanged
way/435509262,unchanged
way/435510995,unchanged
way/435511302,unchanged
way/435633563,unchanged
way/435637777,unchanged
way/435637784,unchanged
way/435637786,unchanged
way/435637793,unchanged
way/435638875,unchanged
way/435639072,unchanged
way/435639073,unchanged
way/435822219,unchanged
way/435822225,unchanged
way/435929951,unchanged
way/435929952,unchanged
way/435929954,unchanged
way/435932205,unchanged
way/435932452,unchanged
way/435941317,unchanged
way/435941319,unchanged
way/435943790,unchanged
way/435943797,unchanged
way/435943799,unchanged
way/435943802,unchanged
way/681360944,unchanged
way/924592308,unchanged
way/941927213,unchanged
way/941927216,unchanged
way/941927230,unchanged
way/941927235,unchanged
way/941927243,unchanged
way/941927245,unchanged
way/941927248,unchanged
way/941927252,unchanged
way/942666500,unchanged
way/942677962,unchanged
way/947890581,unchanged
way/947890582,unchanged
way/947921662,unchanged
way/948239060,unchanged
way/948239064,unchanged
way/948239065,unchanged
way/950132500,unchanged
way/956615885,unchanged
way/957452701,unchanged
way/957650434,unchanged
way/957650438,unchanged
way/957847560,unchanged
way/965605237,unchanged
way/965605241,unchanged
way/965605245,unchanged
way/965605247,unchanged
way/965605248,unchanged
way/965605249,unchanged
way/965605250,unchanged
way/966274051,unchanged
way/966274059,unchanged
way/966274060,unchanged
way/966274062,unchanged
way/967387559,unchanged
way/968439452,unchanged
way/977828100,unchanged
way/986380109,unchanged
way/987123363,unchanged
way/987123364,unchanged
way/987123366,unchanged
way/987123378,unchanged
way/987508175,unchanged
way/991543628,unchanged
way/997250230,unchanged
way/997278109,unchanged
way/997278110,unchanged
way/997278115,unchanged
way/997282489,unchanged
way/997282492,unchanged
way/997282496,unchanged
way/997282501,unchanged
relation/12638102,changed
relation/12702632,changed
relation/12720242,changed
relation/12837457,changed
relation/12867469,changed
relation/12876436,changed
relation/12877780,changed
relation/12891868,changed
relation/12931517,changed
relation/13005466,changed
relation/13303818,changed
relation/13306447,changed
relation/13307656,changed
relation/13430482,changed
relation/4172529,changed
relation/4172892,changed
relation/5808694,changed
way/198082054,changed
way/224012143,changed
way/277649996,changed
way/286376566,changed
way/286376568,changed
way/286376569,changed
way/286376572,changed
way/286376575,changed
way/286417117,changed
way/286564856,changed
way/286685213,changed
way/286685214,changed
way/287225524,changed
way/287496586,changed
way/287496598,changed
way/287696585,changed
way/287696586,changed
way/287696589,changed
way/287939448,changed
way/287939449,changed
way/287939450,changed
way/287939454,changed
way/287943062,changed
way/287943067,changed
way/288276175,changed
way/288276177,changed
way/288447773,changed
way/288461982,changed
way/288461988,changed
way/288461994,changed
way/288600852,changed
way/289362370,changed
way/289362372,changed
way/289364388,changed
way/289387276,changed
way/289692617,changed
way/289692619,changed
way/289692622,changed
way/289779214,changed
way/289779218,changed
way/289779221,changed
way/289979826,changed
way/289979828,changed
way/290026248,changed
way/290026253,changed
way/290026255,changed
way/290820844,changed
way/290820847,changed
way/291149503,changed
way/291155593,changed
way/291155594,changed
way/291278670,changed
way/291278671,changed
way/291278672,changed
way/291892251,changed
way/292149913,changed
way/292149915,changed
way/292149916,changed
way/292149919,changed
way/293591506,changed
way/293596153,changed
way/310738151,changed
way/310771776,changed
way/310771821,changed
way/311161163,changed
way/311161165,changed
way/311162657,changed
way/311162659,changed
way/311162661,changed
way/311431848,changed
way/311431852,changed
way/322742254,changed
way/333138109,changed
way/333138129,changed
way/333138131,changed
way/340701289,changed
way/380242672,changed
way/388485179,changed
way/388485183,changed
way/389587831,changed
way/389587832,changed
way/389587833,changed
way/389587834,changed
way/389587835,changed
way/391270222,changed
way/391275433,changed
way/391276755,changed
way/391276759,changed
way/391276760,changed
way/391276761,changed
way/391276763,changed
way/391276764,changed
way/391276765,changed
way/391276768,changed
