building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
27410,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,3755.1699,3754.5108,-0.017552
27550,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,589.2873,589.2438,-0.007382
27610,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,6,6,1,34570.7193,34570.7193,0.0
27683,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,4,7442.6677,7442.5688,-0.001329
27746,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,5,5,2,137.3652,137.3667,0.001092
27816,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,574.7682,574.6726,-0.016633
27931,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,7,7,1,30520.057,30520.057,0.0
27997,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,3,5345.8948,5345.9197,0.000466
28000,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,3,4458.1334,4458.2374,0.002333
28004,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,1144.1525,1144.2399,0.007639
28014,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,2758.0773,2757.3531,-0.026257
28020,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,5,5,2,141.603,141.598,-0.003531
28025,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,3,1266.7684,1266.7545,-0.001097
28026,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,7,16,3,1852.4145,1852.1487,-0.014349
28033,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,7,16,3,2619.3072,2619.3443,0.001416
28036,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,7,16,3,1644.7508,1644.5615,-0.011509
28050,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,2,2629.0455,2629.0044,-0.001563
28061,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,9,9,1,6766.6536,6766.6536,0.0
28074,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,3,11946.2754,11946.0632,-0.001776
28081,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,2,6003.8943,6002.9036,-0.016501
28108,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,3,5189.3578,5189.3473,-0.000202
28111,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,N,Y,40,7,1,8967.0407,8967.0201,-0.00023
28125,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,2,6531.3391,6531.3391,0.0
28134,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,N,N,6,6,1,3899.289,3899.289,0.0
28153,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,7,16,3,1010.674,1010.8762,0.020006
28175,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,6580.7243,6580.897,0.002624
28192,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,7,16,3,2638.0704,2638.0309,-0.001497
28205,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,2,6134.7561,6135.011,0.004155
28217,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,40,40,5,9454.4805,9454.8932,0.004365
28237,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,8,8,1,39013.8307,39013.8307,0.0
28273,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,6,16,3,651.3815,651.1893,-0.029507
28287,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,10,10,1,16921.1266,16921.1266,0.0
28304,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,2,765.1744,765.1744,0.0
28308,IT-BOL-GALVANI2,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,FALLBACK_PENDING_LAYOUT_MISSING_DWELLING_COUNT,Y,Y,6,6,1,5304.5899,5304.5899,0.0
28333,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,4,2342.3211,2342.3197,-6e-05
28350,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,40,40,5,17476.2286,17476.1095,-0.000681
28362,IT-BOL-GALVANI2,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,16,16,4,2302.3985,2302.3811,-0.000756
