Date/Time,BATIMENT0000000240877527_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000240877527_PART0_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,5876939.766674189,4657749.115961829,4630556.986325379,5474197.587659152,12713909.763245547 
 01/01  02:00:00,6427804.50142389,5229077.315654926,5224736.168443936,6147014.324499896,14128642.148311444 
 01/01  03:00:00,6702084.874197053,5518185.620496345,5527880.662549579,6491479.263829694,14765033.13466924 
 01/01  04:00:00,6845896.08329536,5675140.556139721,5698026.115887691,6698709.6130416505,15212834.323796416 
 01/01  05:00:00,6949464.205898939,5789777.4078979455,5823059.065117868,6849958.344094509,15491102.481329393 
 01/01  06:00:00,7158702.544795861,6011583.878554573,6055075.422858043,7111071.296006397,15956998.966527581 
 01/01  07:00:00,7226187.59300556,6090800.846871854,6143570.14442877,7223612.667274738,16207091.053698564 
 01/01  08:00:00,7333125.572827801,6208126.213728924,6270347.47461509,7376145.158976177,16541911.9422669 
 01/01  09:00:00,7639968.373523046,6529046.435547157,6600392.419206099,7737693.37767347,17211185.723756652 
 01/01  10:00:00,7854612.479184615,6754706.699684636,6823259.601337918,7945315.962572766,17529288.462680686 
 01/01  11:00:00,6976012.229671303,5867061.32833075,5876737.047627875,6568158.735400171,15278912.55614484 
 01/01  12:00:00,5342345.443227387,4192962.490834386,3823268.7265933403,3885190.2146916576,11659741.813739689 
 01/01  13:00:00,4002540.860649579,2786809.1750095743,1888321.5979004893,1703582.6989096878,8842476.09915345 
 01/01  14:00:00,3157494.0323554245,1923938.3998210104,1019972.9679207288,534515.9111544024,6537092.100972433 
 01/01  15:00:00,2749763.191484957,1517934.8487165552,1000263.2333666668,323054.0486170066,5144318.832976595 
 01/01  16:00:00,2972816.63830576,1734145.2378864726,1491588.1265699572,1364532.2403666505,5470452.016260429 
 01/01  17:00:00,3541359.362807841,2270425.3049574764,2075145.2821230283,2484107.5346030905,7426886.623499756 
 01/01  18:00:00,4344950.459556454,3071756.6783311255,2918327.1350286845,3467438.409224424,9286089.715009801 
 01/01  19:00:00,4889623.773272482,3624128.9582892642,3494661.591185321,4104891.629545618,10259029.353274781 
 01/01  20:00:00,5229401.726099869,3971453.977746639,3862745.8007411743,4520808.151664902,10870396.037357032 
 01/01  21:00:00,5411873.9222164685,4159023.650013658,4065075.270056774,4749852.092793884,11087407.783548608 
 01/01  22:00:00,5430139.062600991,4182395.026225662,4101671.4261298883,4805075.256181151,11080509.516021792 
 01/01  23:00:00,5424265.526336789,4183791.6990384487,4121291.697522858,4864881.286077181,11363497.32983978 
 01/01  24:00:00,5389612.713523221,4155164.807208419,4107093.2801715652,4879380.805805317,11439906.316093102 
 01/02  01:00:00,5409952.401059295,4176397.391728742,4133580.307352857,4904858.918504248,11279625.620291308 
 01/02  02:00:00,5401907.428281784,4170345.70389713,4131027.1863095555,4892990.106486591,11028330.349044645 
 01/02  03:00:00,5545152.960694766,4315797.619254105,4280660.959778407,5043943.829096243,11151490.360561542 
 01/02  04:00:00,5873942.38879967,4650663.2417950565,4620053.263434311,5392865.200333836,11549172.883594945 
 01/02  05:00:00,6217890.836555957,5003296.402272082,4976399.584893144,5755643.263007381,11994433.283803111 
 01/02  06:00:00,6449016.057534032,5243930.477833126,5222948.315548564,6017623.307064095,12402840.946996106 
 01/02  07:00:00,6467246.472987748,5269250.422068418,5252366.647580179,6052245.636163068,12427300.583394233 
 01/02  08:00:00,6570548.02156412,5378550.925585383,5365350.615414236,6170847.571636783,12595231.109083563 
 01/02  09:00:00,6810394.017633549,5627919.598244407,5619107.990730633,6438315.325613744,13025167.45384553 
 01/02  10:00:00,6919027.880721982,5742987.292307761,5730033.946941735,6543029.696757711,13241573.329214849 
 01/02  11:00:00,6653557.028585672,5467684.547568233,5418022.036480697,6091856.510565282,12668111.029654752 
 01/02  12:00:00,5939483.4293820085,4724206.136547944,4502280.7523677675,4886967.522979056,11083911.496890716 
 01/02  13:00:00,5267695.780347119,4007491.1975205825,3556382.997960539,3845811.2264623637,9708996.618518922 
 01/02  14:00:00,5443897.5613465775,4184194.000707247,3976343.66633342,4472013.31218888,10460389.0266102 
 01/02  15:00:00,6306907.716361306,5066904.117813349,4943260.257626295,5579773.073210366,12136368.521773849 
 01/02  16:00:00,7199084.878039988,5985960.976116598,5899160.681184568,6636066.048946815,13800050.187791957 
 01/02  17:00:00,7891145.0540380115,6704758.426666103,6648887.496195257,7467394.676390046,15140274.54926928 
 01/02  18:00:00,9622335.15916666,8479232.63343185,8434341.219088316,9357075.283721702,18324164.346446358 
 01/02  19:00:00,10467081.254499925,9350645.055836925,9310780.213159889,10264074.162558008,19567673.67895291 
 01/02  20:00:00,10777462.065133907,9686352.41117935,9656808.530496027,10632321.177328717,20007617.826783508 
 01/02  21:00:00,10970217.221439784,9902017.565056214,9881641.377045179,10874464.427202813,20300803.376835663 
 01/02  22:00:00,11428020.220929759,10382778.796763359,10371122.780912446,11383983.16464719,20947406.005135152 
