building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/287696580,residential,apartments,136.2,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,408.5,408.5,0.0
way/287696581,residential,apartments,98.3,4.0,12.0,storeys x 3.0 m,,ruled,4,7,344.1,344.1,0.0
way/287696583,residential,apartments,355.6,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1424.1,1424.1,0.0
way/287696584,residential,apartments,151.6,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,606.6,606.6,0.0
way/287696585,residential,apartments,62.3,3.0,9.0,storeys x 3.0 m,,ruled,3,1,62.3,62.3,0.0
way/287696586,residential,apartments,45.5,1.0,3.0,storeys x 3.0 m,,ruled,1,1,45.5,45.5,0.0
way/287696587,residential,apartments,62.7,3.0,9.0,storeys x 3.0 m,,ruled,3,3,188.1,188.1,0.0
way/287696588,residential,apartments,74.1,1.0,3.0,storeys x 3.0 m,,ruled,1,1,74.1,74.1,0.0
way/287696589,residential,apartments,61.1,3.0,9.0,storeys x 3.0 m,,ruled,3,1,61.1,61.1,0.0
way/287696590,residential,apartments,76.7,5.0,15.0,storeys x 3.0 m,,massing_box,5,0,383.4,383.4,0.0
way/287696591,residential,house,67.9,2.0,6.0,storeys x 3.0 m,,ruled,2,2,135.8,135.8,0.0
way/287696594,residential,apartments,48.8,2.0,6.0,storeys x 3.0 m,,ruled,2,2,97.5,97.5,0.0
way/287696595,residential,apartments,49.9,2.0,6.0,storeys x 3.0 m,,ruled,2,1,49.9,49.9,0.0
way/287696596,residential,apartments,58.8,3.0,9.0,storeys x 3.0 m,,ruled,3,1,58.8,58.8,0.0
way/287938551,residential,apartments,85.2,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,255.8,255.8,0.0
way/287938553,residential,apartments,75.7,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,302.5,302.5,0.0
way/287938556,residential,apartments,81.2,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,243.5,243.5,0.0
way/287939446,residential,apartments,176.5,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,529.6,529.6,0.0
way/287939447,residential,apartments,121.9,5.0,15.0,storeys x 3.0 m,,ruled,5,9,548.5,548.5,0.0
way/287939448,residential,apartments,147.7,3.0,9.0,storeys x 3.0 m,,ruled,3,10,344.7,344.7,0.0
way/287939449,residential,house,55.5,,9.0,assumed 9.0 m,,ruled,1,1,55.5,55.5,0.0
way/287939450,residential,house,58.0,,9.0,assumed 9.0 m,,ruled,1,1,58.0,58.0,0.0
way/287939451,residential,house,38.6,,9.0,assumed 9.0 m,,ruled,1,1,38.6,38.6,0.0
way/287939452,residential,house,54.3,,9.0,assumed 9.0 m,,ruled,1,1,54.3,54.3,0.0
way/287939453,residential,house,39.7,,9.0,assumed 9.0 m,,ruled,1,1,39.7,39.7,0.0
way/287939454,residential,house,83.7,,9.0,assumed 9.0 m,,ruled,1,2,83.6,83.6,0.0
way/287939455,residential,apartments,234.5,,9.0,assumed 9.0 m,,massing_box,5,0,1172.7,1172.7,0.0
way/287943062,residential,apartments,185.1,3.0,9.0,storeys x 3.0 m,,ruled,3,10,431.8,431.8,0.0
way/287943064,residential,apartments,183.2,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,549.7,549.7,0.0
way/287943067,residential,apartments,277.1,3.0,9.0,storeys x 3.0 m,,ruled,3,7,554.3,554.3,0.0
way/287943069,residential,apartments,51.1,,9.0,assumed 9.0 m,,ruled,4,1,51.1,51.1,0.0
way/288276172,residential,apartments,59.4,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,178.6,178.6,0.0
way/288276173,residential,apartments,444.0,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1775.8,1775.8,0.0
way/288276174,residential,apartments,478.0,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1911.5,1911.5,0.0
way/288276175,residential,apartments,81.0,3.0,9.0,storeys x 3.0 m,,ruled,3,4,162.0,162.0,0.0
