building_id,eui_kwh_m2,geometry_outcome
way/100704656,89.66,dwelling layout (observed)
way/100704677,130.31,dwelling layout (observed)
way/100704682,40.89,dwelling layout (observed)
way/100704705,28.91,geometry-limited massing box
way/100704712,62.44,dwelling layout (observed)
way/100704723,98.98,geometry-limited massing box
way/100704738,38.25,geometry-limited massing box
way/100704741,69.37,dwelling layout (observed)
way/133979799,84.6,geometry-limited massing box
way/195286075,62.49,dwelling layout (observed)
way/198082036,83.11,geometry-limited massing box
way/198082054,63.01,dwelling layout (observed)
way/198082056,110.25,geometry-limited massing box
way/232618736,92.71,dwelling layout (observed)
way/277649994,46.0,dwelling layout (observed)
way/277649996,97.09,dwelling layout (observed)
way/286376565,126.76,dwelling layout (observed)
way/286376566,48.38,dwelling layout (observed)
way/286376568,90.46,dwelling layout (observed)
way/286376569,297.35,dwelling layout (observed)
way/286376571,53.11,dwelling layout (observed)
way/286376574,61.38,dwelling layout (observed)
way/286376575,178.67,dwelling layout (observed)
way/286417117,84.62,geometry-limited massing box
way/286564856,171.5,dwelling layout (observed)
way/286685213,52.97,dwelling layout (observed)
way/286685214,153.91,dwelling layout (observed)
way/286685215,38.29,dwelling layout (observed)
way/286685216,109.84,dwelling layout (observed)
way/286685217,43.6,dwelling layout (observed)
way/286685218,119.74,dwelling layout (observed)
way/286685219,40.87,dwelling layout (observed)
way/286685222,79.91,geometry-limited massing box
way/286754285,95.97,dwelling layout (observed)
way/286754286,332.21,dwelling layout (observed)
way/286754288,42.31,dwelling layout (observed)
way/286754289,317.37,dwelling layout (observed)
way/286754290,42.95,dwelling layout (observed)
way/286783497,87.86,dwelling layout (observed)
way/287225519,37.61,geometry-limited massing box
way/287225523,151.79,dwelling layout (observed)
way/287225524,136.11,dwelling layout (observed)
way/287356953,35.15,geometry-limited massing box
way/287496586,79.33,dwelling layout (observed)
way/287696580,96.71,dwelling layout (observed)
way/287696581,120.97,dwelling layout (observed)
way/287696583,103.04,dwelling layout (observed)
way/287696584,40.3,geometry-limited massing box
way/287696585,397.34,dwelling layout (observed)
way/287696586,117.69,dwelling layout (observed)
way/287696587,55.46,dwelling layout (observed)
way/287696588,133.74,dwelling layout (observed)
way/287696589,349.26,dwelling layout (observed)
way/287696590,63.62,dwelling layout (observed)
way/287696594,148.95,dwelling layout (observed)
way/287696595,289.86,dwelling layout (observed)
way/287696596,336.84,dwelling layout (observed)
way/287938551,38.59,geometry-limited massing box
way/287938553,42.7,dwelling layout (observed)
way/287938556,38.83,dwelling layout (observed)
way/287939446,90.56,geometry-limited massing box
way/287939447,36.63,dwelling layout (observed)
way/287939448,130.45,dwelling layout (observed)
way/287943062,41.99,geometry-limited massing box
way/287943064,42.56,geometry-limited massing box
way/287943067,75.23,geometry-limited massing box
way/288276172,48.06,dwelling layout (observed)
way/288276173,41.4,dwelling layout (observed)
way/288276174,86.63,dwelling layout (observed)
way/288276175,87.82,dwelling layout (observed)
way/288276176,94.66,dwelling layout (observed)
way/288276177,116.84,dwelling layout (observed)
way/288276179,124.22,dwelling layout (observed)
way/288447771,120.62,dwelling layout (observed)
way/288461982,85.16,geometry-limited massing box
way/288461983,40.7,dwelling layout (observed)
way/288461988,255.97,dwelling layout (observed)
way/288461989,74.91,dwelling layout (observed)
