Time,504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Heat Load [W],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Cool Load [W],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Heat Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Cool Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_0::Des Heat Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_0::Des Sens Cool Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Heat Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_0::Des Latent Cool Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],504FA19567BBC2B7_F0_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Heat Load [W],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Cool Load [W],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Heat Mass Flow [kg/s],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Cool Mass Flow [kg/s],504FA19567BBC2B7_F1_DWELLING_0::Des Heat Load No DOAS [W],504FA19567BBC2B7_F1_DWELLING_0::Des Sens Cool Load No DOAS [W],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Heat Load No DOAS [W],504FA19567BBC2B7_F1_DWELLING_0::Des Latent Cool Load No DOAS [W],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],504FA19567BBC2B7_F1_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Heat Load [W],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Cool Load [W],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Heat Mass Flow [kg/s],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Cool Mass Flow [kg/s],504FA19567BBC2B7_F2_DWELLING_0::Des Heat Load No DOAS [W],504FA19567BBC2B7_F2_DWELLING_0::Des Sens Cool Load No DOAS [W],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Heat Load No DOAS [W],504FA19567BBC2B7_F2_DWELLING_0::Des Latent Cool Load No DOAS [W],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],504FA19567BBC2B7_F2_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Load [W],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Heat Load [W],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Cool Load [W],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Heat Mass Flow [kg/s],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Cool Mass Flow [kg/s],504FA19567BBC2B7_F3_DWELLING_0::Des Heat Load No DOAS [W],504FA19567BBC2B7_F3_DWELLING_0::Des Sens Cool Load No DOAS [W],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Heat Load No DOAS [W],504FA19567BBC2B7_F3_DWELLING_0::Des Latent Cool Load No DOAS [W],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],504FA19567BBC2B7_F3_DWELLING_0:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Load [W],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Heat Load [W],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Cool Load [W],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Heat Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Cool Mass Flow [kg/s],504FA19567BBC2B7_F0_DWELLING_1::Des Heat Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_1::Des Sens Cool Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Heat Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_1::Des Latent Cool Load No DOAS [W],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],504FA19567BBC2B7_F0_DWELLING_1:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,1.388205E+03,0.000000E+00,4.537271E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.530817E+01,2.606263E+01,4.640749E+01,1.562852E+03,0.000000E+00,5.108090E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.643015E+01,2.882318E+01,3.949780E+01,1.650880E+03,0.000000E+00,5.395791E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.699558E+01,2.915964E+01,3.873818E+01,3.422528E+03,0.000000E+00,1.118600E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999492E+01,4.371539E+01,2.761535E+01,4.236636E+01,3.574326E+03,0.000000E+00,1.168201E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,4.402924E+01,2.264781E+01,6.966147E+01
00:10:00,1.383875E+03,0.000000E+00,4.523116E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531002E+01,2.604823E+01,4.664120E+01,1.557209E+03,0.000000E+00,5.089644E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.643318E+01,2.881041E+01,3.969294E+01,1.645055E+03,0.000000E+00,5.376754E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.699802E+01,2.914702E+01,3.892925E+01,3.408012E+03,0.000000E+00,1.113856E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999492E+01,4.371324E+01,2.760221E+01,4.257662E+01,3.557317E+03,0.000000E+00,1.162642E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999462E+01,4.402554E+01,2.258069E+01,7.021778E+01
00:15:00,1.379178E+03,0.000000E+00,4.507764E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531131E+01,2.602694E+01,4.689296E+01,1.551186E+03,0.000000E+00,5.069960E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.643576E+01,2.879052E+01,3.990357E+01,1.638850E+03,0.000000E+00,5.356472E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700012E+01,2.912669E+01,3.913678E+01,3.392988E+03,0.000000E+00,1.108946E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999491E+01,4.371221E+01,2.757214E+01,4.282823E+01,3.539801E+03,0.000000E+00,1.156917E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,4.402334E+01,2.252590E+01,7.070423E+01
00:20:00,1.374108E+03,0.000000E+00,4.491195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531199E+01,2.599977E+01,4.715903E+01,1.544777E+03,0.000000E+00,5.049010E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.643788E+01,2.876456E+01,4.012641E+01,1.632252E+03,0.000000E+00,5.334908E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700189E+01,2.909911E+01,3.935893E+01,3.377431E+03,0.000000E+00,1.103861E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999491E+01,4.371235E+01,2.752794E+01,4.311374E+01,3.521740E+03,0.000000E+00,1.151014E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999461E+01,4.402272E+01,2.248114E+01,7.112871E+01
00:25:00,1.368671E+03,0.000000E+00,4.473421E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531212E+01,2.596838E+01,4.743453E+01,1.537985E+03,0.000000E+00,5.026811E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.643955E+01,2.873424E+01,4.035728E+01,1.625270E+03,0.000000E+00,5.312087E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700333E+01,2.906681E+01,3.958983E+01,3.361357E+03,0.000000E+00,1.098607E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999491E+01,4.371341E+01,2.747476E+01,4.342034E+01,3.503164E+03,0.000000E+00,1.144943E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.402335E+01,2.244288E+01,7.150656E+01
00:30:00,1.362859E+03,0.000000E+00,4.454426E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531175E+01,2.593397E+01,4.771606E+01,1.530802E+03,0.000000E+00,5.003335E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.644083E+01,2.870065E+01,4.059362E+01,1.617893E+03,0.000000E+00,5.287975E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700450E+01,2.903181E+01,3.982479E+01,3.344739E+03,0.000000E+00,1.093175E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999490E+01,4.371521E+01,2.741674E+01,4.373771E+01,3.484036E+03,0.000000E+00,1.138691E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.402499E+01,2.240847E+01,7.185007E+01
00:35:00,1.356677E+03,0.000000E+00,4.434221E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.531096E+01,2.589735E+01,4.800120E+01,1.523235E+03,0.000000E+00,4.978602E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.644177E+01,2.866422E+01,4.083433E+01,1.610128E+03,0.000000E+00,5.262595E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700541E+01,2.899537E+01,4.006079E+01,3.327595E+03,0.000000E+00,1.087572E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999490E+01,4.371751E+01,2.735633E+01,4.405961E+01,3.464385E+03,0.000000E+00,1.132268E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999460E+01,4.402734E+01,2.237642E+01,7.216676E+01
00:40:00,1.350120E+03,0.000000E+00,4.412790E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999584E+01,3.530979E+01,2.585903E+01,4.828835E+01,1.515274E+03,0.000000E+00,4.952584E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.644242E+01,2.862625E+01,4.107620E+01,1.601964E+03,0.000000E+00,5.235913E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700612E+01,2.895814E+01,4.029618E+01,3.309899E+03,0.000000E+00,1.081788E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999490E+01,4.372024E+01,2.729468E+01,4.438289E+01,3.444173E+03,0.000000E+00,1.125662E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.403028E+01,2.234605E+01,7.246038E+01
00:45:00,1.343186E+03,0.000000E+00,4.390129E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999585E+01,3.530828E+01,2.581930E+01,4.857652E+01,1.506920E+03,0.000000E+00,4.925278E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.644279E+01,2.858768E+01,4.131679E+01,1.593402E+03,0.000000E+00,5.207928E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700662E+01,2.892040E+01,4.053008E+01,3.291650E+03,0.000000E+00,1.075824E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999490E+01,4.372324E+01,2.723229E+01,4.470611E+01,3.423403E+03,0.000000E+00,1.118874E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.403360E+01,2.231686E+01,7.273393E+01
00:50:00,1.335878E+03,0.000000E+00,4.366242E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999585E+01,3.530646E+01,2.577831E+01,4.886503E+01,1.498172E+03,0.000000E+00,4.896688E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999582E+01,3.644290E+01,2.854896E+01,4.155488E+01,1.584442E+03,0.000000E+00,5.178643E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999575E+01,3.700691E+01,2.888226E+01,4.076204E+01,3.272849E+03,0.000000E+00,1.069679E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999490E+01,4.372643E+01,2.716933E+01,4.502855E+01,3.402080E+03,0.000000E+00,1.111905E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999459E+01,4.403720E+01,2.228847E+01,7.298986E+01
